e
M0002
Pda7F85E36u;ba82FD9F2p,14,208;ba7F7E1E3p,14,208;ba7C807F1p,10,208
Pda7FCED07u;ba804FE50p,10,201;ba801AB3Ep,10,201;ba7FCACEEp,10,201
Pda7FCF13Au;ba80500E0p,10,201;ba801AA63p,10,201;ba7FCA983p,10,201
Pda7FCF56Cu;ba8050228p,10,201;ba801A8AEp,10,201;ba7FCA686p,10,201
Pda7FCF99Fu;ba8050303p,10,201;ba801A68Bp,10,201;ba7FCA388p,10,201
Pda7FCFDD1u;ba8050371p,10,201;ba801A4D5p,10,201;ba7FCA165p,10,201
Pda7FD0204u;ba8050371p,10,201;ba801A320p,10,201;ba7FC9FB0p,10,201
Pda7FD0636u;ba8050228p,10,201;ba801A090p,10,201;ba7FC9E68p,10,201
Pda7FD0A69u;ba8050296p,10,201;ba8019FB5p,10,201;ba7FC9D20p,10,201
Pda7FD0E9Bu;ba80500E0p,10,201;ba8019D92p,10,201;ba7FC9CB2p,10,201
Pda7FD12CEu;ba8050006p,10,201;ba8019BDDp,10,201;ba7FC9BD7p,10,201
Pda7FD1700u;ba804FC9Bp,10,201;ba8019A27p,10,201;ba7FC9D8Dp,10,201
Pda7FD1B33u;ba804FAE5p,10,201;ba8019804p,10,201;ba7FC9D20p,10,201
Pda7FD1F65u;ba804F8C2p,10,201;ba80195E1p,10,201;ba7FC9D20p,10,201
Pda7FD2398u;ba804F5C5p,10,201;ba801942Cp,10,201;ba7FC9E68p,10,201
Pda7FD27CAu;ba804F334p,10,201;ba8019276p,10,201;ba7FC9F42p,10,201
Pda7FD2BFDu;ba804EF5Cp,10,201;ba80190C1p,10,201;ba7FCA165p,10,201
Pda7FD302Fu;ba804EDA6p,10,201;ba8019053p,10,201;ba7FCA2ADp,10,201
Pda7FD3461u;ba804E886p,10,201;ba8018E9Ep,10,201;ba7FCA618p,10,201
Pda7FD3894u;ba804E440p,10,201;ba8018CE8p,10,201;ba7FCA8A9p,10,201
Pda7FD3CC6u;ba804E0D5p,10,201;ba8018C0Ep,10,201;ba7FCAB39p,10,201
Pda7FD40F9u;ba804DC22p,10,201;ba8018AC6p,10,201;ba7FCAEA4p,10,201
Pda7FD452Bu;ba804D84Ap,10,201;ba8018A58p,10,201;ba7FCB20Fp,10,201
Pda7FD495Eu;ba804D329p,10,201;ba80188A3p,10,201;ba7FCB57Ap,10,201
Pda7FD4D90u;ba804CD2Ep,10,201;ba80187C8p,10,201;ba7FCBA9Ap,10,201
Pda7FD51C3u;ba804C80Dp,10,201;ba80186EDp,10,201;ba7FCBEE0p,10,201
Pda7FD55F5u;ba804C212p,10,201;baDF20EB0f,10,201;ba7FCC393p,10,201
Pda7FD5A28u;ba804BCF2p,10,201;baDF06378f,10,201;ba7FCC846p,10,201
Pda7FD5E5Au;ba804B6F7p,10,201;baDED0CF8f,10,201;ba7FCCD67p,10,201
Pda7FD628Du;ba804B169p,10,201;baDE9B680f,10,201;ba7FCD21Ap,10,201
Pda7FD66BFu;ba804AB00p,10,201;baDE66000f,10,201;ba7FCD7A8p,10,201
Pda7FD6AF2u;ba804A42Ap,10,201;baDE30980f,10,201;ba7FCDDA3p,10,201
Pda7FD6F24u;ba8049FE4p,10,201;baDE30980f,10,201;ba7FCE1E9p,10,201
Pda7FD7357u;ba804997Cp,10,201;baDE15E40f,10,201;ba7FCE7E4p,10,201
Pda7FD7789u;ba80492A6p,10,201;baDDC5C88f,10,201;ba7FCED72p,10,201
Pda7FD7BBCu;ba8048CAAp,10,201;baDDC5C88f,10,201;ba7FCF36Dp,10,201
Pda7FD7FEEu;ba804871Dp,10,201;baDDC5C88f,10,201;ba7FCF8FBp,10,201
Pda7FD8421u;ba804818Fp,10,201;baDDAB148f,10,201;ba7FCFE1Cp,10,201
Pda7FD8853u;ba8047B26p,10,201;baDD90610f,10,201;ba7FD0417p,10,201
Pda7FD8C86u;ba8047673p,10,201;baDDAB148f,10,201;ba7FD0937p,10,201
Pda7FD90B8u;ba8046F9Dp,10,201;baDD75AD0f,10,201;ba7FD0F33p,10,201
Pda7FD94EBu;ba8046AEAp,10,201;baDDAB148f,10,201;ba7FD14C0p,10,201
Pda7FD991Du;ba80465C9p,10,201;baDDAB148f,10,201;ba7FD19E1p,10,201
Pda7FD9D50u;ba80460A9p,10,201;baDDC5C88f,10,201;ba7FD1F6Fp,10,201
Pda7FDA182u;ba8045C63p,10,201;baDDE07C8f,10,201;ba7FD2422p,10,201
Pda7FDA5B4u;ba80457B0p,10,201;baDDE07C8f,10,201;ba7FD28D5p,10,201
Pda7FDA9E7u;ba80452FDp,10,201;baDDFB300f,10,201;ba7FD2DF6p,10,201
Pda7FDAE19u;ba8044F24p,10,201;baDE30980f,10,201;ba7FD32A9p,10,201
Pda7FDB24Cu;ba8044C27p,10,201;baDE80B40f,10,201;ba7FD36EEp,10,201
Pda7FDB67Eu;ba8044929p,10,201;baDED0CF8f,10,201;ba7FD3B34p,10,201
Pda7FDBAB1u;ba80445BEp,10,201;baDF06378f,10,201;ba7FD3F7Ap,10,201
Pda7FDBEE3u;ba804439Bp,10,201;ba80186EDp,10,201;ba7FD4352p,10,201
Pda7FDC316u;ba804409Ep,10,201;ba80187C8p,10,201;ba7FD472Bp,10,201
Pda7FDC748u;ba8043E7Bp,10,201;ba801897Dp,10,201;ba7FD4B03p,10,201
Pda7FDCB7Bu;ba8043CC5p,10,201;ba8018B33p,10,201;ba7FD4E6Ep,10,201
Pda7FDCFADu;ba8043B10p,10,201;ba8018CE8p,10,201;ba7FD51D9p,10,201
Pda7FDD3E0u;ba80439C8p,10,201;ba8018E9Ep,10,201;ba7FD54D7p,10,201
Pda7FDD812u;ba8043812p,10,201;ba80190C1p,10,201;ba7FD58AFp,10,201
Pda7FDDC45u;ba80437A5p,10,201;ba80192E4p,10,201;ba7FD5B3Fp,10,201
Pda7FDE077u;ba80436CAp,10,201;ba8019507p,10,201;ba7FD5E3Dp,10,201
Pda7FDE4AAu;ba80435EFp,10,201;ba8019729p,10,201;ba7FD613Bp,10,201
Pda7FDE8DCu;ba804365Dp,10,201;ba80199BAp,10,201;ba7FD635Dp,10,201
Pda7FDED0Fu;ba804365Dp,10,201;ba8019C4Ap,10,201;ba7FD65EEp,10,201
Pda7FDF141u;ba80437A5p,10,201;ba8019F48p,10,201;ba7FD67A3p,10,201
Pda7FDF574u;ba8043812p,10,201;ba801A16Ap,10,201;ba7FD6959p,10,201
Pda7FDF9A6u;ba8043880p,10,201;ba801A3FBp,10,201;ba7FD6B7Cp,10,201
Pda7FDFDD9u;ba80439C8p,10,201;ba801A6F8p,10,201;ba7FD6D31p,10,201
Pda7FE020Bu;ba8043B7Dp,10,201;ba801A9F6p,10,201;ba7FD6E79p,10,201
Pda7FE063Eu;ba8043E7Bp,10,201;ba801AD61p,10,201;ba7FD6EE6p,10,201
Pda7FE0A70u;ba8044030p,10,201;ba801B05Fp,10,201;ba7FD702Fp,10,201
Pda7FE0EA2u;ba80442C1p,10,201;ba801B437p,10,201;ba7FD7177p,10,201
Pda7FE12D5u;ba80445BEp,10,201;ba801B7A2p,10,201;ba7FD71E4p,10,201
Pda7FE1707u;ba8044929p,10,201;ba801BB7Ap,10,201;ba7FD7251p,10,201
Pda7FE1B3Au;ba8044C27p,10,201;ba801BEE5p,10,201;ba7FD72BFp,10,201
Pda7FE1F6Cu;ba8044FFFp,10,201;ba801C2BEp,10,201;ba7FD72BFp,10,201
Pda7FE239Fu;ba80453D8p,10,201;ba801C696p,10,201;ba7FD72BFp,10,201
Pda7FE27D1u;ba80457B0p,10,201;ba801CADCp,10,201;ba7FD732Cp,10,201
Pda7FE2C04u;ba8045DABp,10,201;ba801CF8Fp,10,201;ba7FD71E4p,10,201
Pda7FE3036u;ba80462CCp,10,201;ba801D3D5p,10,201;ba7FD7109p,10,201
Pda7FE3469u;ba8046934p,10,201;ba801D888p,10,201;ba7FD6F54p,10,201
Pda7FE389Bu;ba8046F30p,10,201;ba801DD3Bp,10,201;ba7FD6E0Cp,10,201
Pda7FE3CCEu;ba8047598p,10,201;ba801E25Bp,10,201;ba7FD6CC4p,10,201
Pda7FE4100u;ba8047CDCp,10,201;ba801E7E9p,10,201;ba7FD6B0Ep,10,201
Pda7FE4533u;ba804841Fp,10,201;ba801EDE4p,10,201;ba7FD69C6p,10,201
Pda7FE4965u;ba8048A88p,10,201;ba801F298p,10,201;ba7FD6811p,10,201
Pda7FE4D98u;ba8049313p,10,201;ba801F900p,10,201;ba7FD65EEp,10,201
Pda7FE51CAu;ba8049B9Fp,10,201;ba801FEFBp,10,201;ba7FD635Dp,10,201
Pda7FE55FDu;ba804A3BDp,10,201;ba8020564p,10,201;ba7FD61A8p,10,201
Pda7FE5A2Fu;ba804ABDBp,10,201;ba8020B5Fp,10,201;ba7FD5F85p,10,201
Pda7FE5E62u;ba804B541p,10,201;ba80211C8p,10,201;ba7FD5C87p,10,201
Pda7FE6294u;ba804BEA7p,10,201;ba8021831p,10,201;ba7FD598Ap,10,201
Pda7FE66C7u;ba804C80Dp,10,201;ba8021F07p,10,201;ba7FD56FAp,10,201
Pda7FE6AF9u;ba804D1E1p,10,201;ba80225DCp,10,201;ba7FD53FCp,10,201
Pda7FE6F2Cu;ba804DC22p,10,201;ba8022D20p,10,201;ba7FD50FEp,10,201
Pda7FE735Eu;ba804E5F6p,10,201;ba80233F6p,10,201;ba7FD4E01p,10,201
Pda7FE7791u;ba804F1ECp,10,201;ba8023BA7p,10,201;ba7FD49BBp,10,201
Pda2136FC0n;ba804FC9Bp,10,201;ba80242EAp,10,201;ba7FD4650p,10,201
Pda223D4F8n;ba8050749p,10,201;ba8024A2Dp,10,201;ba7FD42E5p,10,201
Pda2343A28n;ba805133Fp,10,201;ba802524Bp,10,201;ba7FD3F0Dp,10,201
Pda2449F60n;ba8052011p,10,201;ba8025A6Ap,10,201;ba7FD3A59p,10,201
Pda2550488n;ba8052C74p,10,201;ba8026288p,10,201;ba7FD3614p,10,201
Pda26569B8n;ba80537FEp,10,201;ba8026AA6p,10,201;ba7FD32A9p,10,201
Pda275CEF0n;ba80544CFp,10,201;ba80272C4p,10,201;ba7FD2DF6p,10,201
Pda2863418n;ba80552E8p,10,201;ba8027BBDp,10,201;ba7FD28D5p,10,201
Pda2969950n;ba8055FB9p,10,201;ba8028448p,10,201;ba7FD248Fp,10,201
Pda2A6FE80n;ba8056DD3p,10,201;ba8028D41p,10,201;ba7FD1F6Fp,10,201
Pda2B763B0n;ba8057CC7p,10,201;ba80296A7p,10,201;ba7FD19E1p,10,201
Pda2C7C8E0n;ba8058BBBp,10,201;ba802A07Bp,10,201;ba7FD14C0p,10,201
Pda2D82E10n;ba8059A42p,10,201;ba802A974p,10,201;ba7FD0F33p,10,201
Pda2E89348n;ba805A9A3p,10,201;ba802B2DAp,10,201;ba7FD0937p,10,201
Pda2F8F878n;ba805B972p,10,201;ba802BCAEp,10,201;ba7FD033Cp,10,201
Pda3095DA8n;ba805CAF6p,10,201;ba802C75Cp,10,201;ba7FCFC66p,10,201
Pda319C2D8n;ba805DB33p,10,201;ba802D19Dp,10,201;ba7FCF66Bp,10,201
Pda32A2808n;ba805EC4Ap,10,201;ba802DC4Bp,10,201;ba7FCF002p,10,201
Pda33A8D38n;ba805FE3Bp,10,201;ba802E7D5p,10,201;ba7FCE99Ap,10,201
Pda34AF268n;ba8060F52p,10,201;ba802F283p,10,201;ba7FCE331p,10,201
Pda35B57A0n;ba80621B1p,10,201;ba802FE0Cp,10,201;ba7FCDC5Bp,10,201
Pda36BBCD0n;ba806347Ep,10,201;ba8030995p,10,201;ba7FCD518p,10,201
Pda37C21F8n;ba8064825p,10,201;ba80315F9p,10,201;ba7FCCDD4p,10,201
Pda38C8730n;ba8065C3Ap,10,201;ba80321EFp,10,201;ba7FCC5B6p,10,201
Pda39CEC60n;ba8066F74p,10,201;ba8032DE6p,10,201;ba7FCBE73p,10,201
Pda3AD5190n;ba80683F6p,10,201;ba8033AB7p,10,201;ba7FCB6C2p,10,201
Pda3BDB6C0n;ba8069878p,10,201;ba80347F6p,10,201;ba7FCAF7Fp,10,201
Pda3CE1BF0n;ba806AC1Fp,10,201;ba80353ECp,10,201;ba7FCA7CEp,10,201
Pda3DE8128n;ba806C10Ep,10,201;ba803612Bp,10,201;ba7FCA01Dp,10,201
Pda3EEE650n;ba806D746p,10,201;ba8036ED7p,10,201;ba7FC9792p,10,201
Pda3FF4B88n;ba806ED10p,10,201;ba8037C83p,10,201;ba7FC8F74p,10,201
Pda40FB0B8n;ba8070347p,10,201;ba8038A2Fp,10,201;ba7FC86E8p,10,201
Pda42015E4n;ba80719ECp,10,201;ba8039848p,10,201;ba7FC7E5Dp,10,201
Pda4307B1Cn;ba8073091p,10,201;ba803A662p,10,201;ba7FC75D1p,10,201
Pda440E048n;ba807487Ep,10,201;ba803B4E8p,10,201;ba7FC6C6Bp,10,201
Pda451457Cn;ba8075FFEp,10,201;ba803C36Fp,10,201;ba7FC6372p,10,201
Pda461AAACn;ba80777EAp,10,201;ba803D263p,10,201;ba7FC5A79p,10,201
Pda4720FDCn;ba80790B2p,10,201;ba803E1C5p,10,201;ba7FC5113p,10,201
Pda4827510n;ba807A90Cp,10,201;ba803F126p,10,201;ba7FC481Ap,10,201
Pda492DA40n;ba807C31Cp,10,201;ba8040162p,10,201;ba7FC3E46p,10,201
Pda4A33F70n;ba807DBE4p,10,201;ba80410C4p,10,201;ba7FC34E0p,10,201
Pda4B3A4A0n;ba807F661p,10,201;ba8042100p,10,201;ba7FC2A9Fp,10,201
Pda4C409D4n;ba8081071p,10,201;ba804313Cp,10,201;ba7FC20CCp,10,201
Pda4D46F04n;ba8082BC9p,10,201;ba8044253p,10,201;ba7FC168Bp,10,201
Pda4E4D438n;ba8084721p,10,201;ba804536Ap,10,201;ba7FC0C4Ap,10,201
Pda4F53964n;ba808642Fp,10,201;ba80464EFp,10,201;ba7FC00C1p,10,201
Pda5059E98n;ba808813Cp,10,201;ba80476E0p,10,201;ba7FBF5A5p,10,201
Pda51603C8n;ba8089E49p,10,201;ba80488D2p,10,201;ba7FBEA89p,10,201
Pda52668F8n;ba808BC9Fp,10,201;ba8049B9Fp,10,201;ba7FBDF00p,10,201
Pda536CE2Cn;ba808DB62p,10,201;ba804AE6Bp,10,201;ba7FBD309p,10,201
Pda5473358n;ba808FA92p,10,201;ba804C212p,10,201;ba7FBC780p,10,201
Pda557988Cn;ba8091955p,10,201;ba804D54Cp,10,201;ba7FBBBF7p,10,201
Pda567FDBCn;ba80939CEp,10,201;ba804E9CEp,10,201;ba7FBB001p,10,201
Pda57862F0n;ba8095A46p,10,201;ba804FE50p,10,201;ba7FBA40Ap,10,201
Pda588C820n;ba8097C07p,10,201;ba80513ADp,10,201;ba7FB97A6p,10,201
Pda5992D54n;ba8099E35p,10,201;ba8052977p,10,201;ba7FB8B43p,10,201
Pda5A99280n;ba809C063p,10,201;ba8053F41p,10,201;ba7FB7EDFp,10,201
Pda5B9F7B0n;ba809E36Cp,10,201;ba8055578p,10,201;ba7FB720Dp,10,201
Pda5CA5CE4n;ba80A06E2p,10,201;ba8056C1Dp,10,201;ba7FB653Cp,10,201
Pda5DAC214n;ba80A2BA0p,10,201;ba805839Dp,10,201;ba7FB57FEp,10,201
Pda5EB2748n;ba80A505Ep,10,201;ba8059B1Cp,10,201;ba7FB4ABFp,10,201
Pda5FB8C74n;ba80A75F7p,10,201;ba805B309p,10,201;ba7FB3D13p,10,201
Pda60BF1A6n;ba80A9BFDp,10,201;ba805CB64p,10,201;ba7FB2F67p,10,201
Pda61C56D8n;ba80AC3B9p,10,201;ba805E506p,10,201;ba7FB214Ep,10,201
Pda62CBC0An;ba80AEB08p,10,201;ba805FEA9p,10,201;ba7FB13A2p,10,201
Pda63D213An;ba80B1331p,10,201;ba806184Bp,10,201;ba7FB051Bp,10,201
Pda64D866Cn;ba80B3BC7p,10,201;ba80632C8p,10,201;ba7FAF702p,10,201
Pda65DEB9En;ba80B66EEp,10,201;ba8064EFBp,10,201;ba7FAE80Dp,10,201
Pda66E50CEn;ba80B91A8p,10,201;ba8066AC0p,10,201;ba7FAD919p,10,201
Pda67EB600n;ba80BBDA9p,10,201;ba8068761p,10,201;ba7FAC9B8p,10,201
Pda68F1B30n;ba80BEA86p,10,201;ba806A4DBp,10,201;ba7FABA56p,10,201
Pda69F8062n;ba80C17CFp,10,201;ba806C256p,10,201;ba7FAAA88p,10,201
Pda6AFE592n;ba80C473Cp,10,201;ba806E187p,10,201;ba7FA9A4Bp,10,201
Pda6C04AC2n;ba80C7716p,10,201;ba80700B7p,10,201;ba7FA89A2p,10,201
Pda6D0AFF4n;ba80CA75Dp,10,201;ba80720C2p,10,201;ba7FA7965p,10,201
Pda6E11526n;ba80CD9C7p,10,201;ba8074215p,10,201;ba7FA684Fp,10,201
Pda6F17A56n;ba80D0D7Ap,10,201;ba8076443p,10,201;ba7FA56CAp,10,201
Pda701DF88n;ba80D4274p,10,201;ba8078671p,10,201;ba7FA43FEp,10,201
Pda71244B9n;ba80D7924p,10,201;ba807AAC2p,10,201;ba7FA319Fp,10,201
Pda722A9EAn;ba80DB1F7p,10,201;ba807D0C8p,10,201;ba7FA1ED2p,10,201
Pda7330F1An;ba80DEB37p,10,201;ba807F6CFp,10,201;ba7FA0B98p,10,201
Pda743744Cn;ba80E2707p,10,201;ba8081EF8p,10,201;ba7F9F7F1p,10,201
Pda753D97Dn;ba80E63B2p,10,201;ba8084721p,10,201;ba7F9E36Fp,10,201
Pda7643EAEn;ba80EA281p,10,201;ba80871DBp,10,201;ba7F9CF5Ap,10,201
Pda774A3DFn;ba80EE372p,10,201;ba8089D6Fp,10,201;ba7F9B9FEp,10,201
Pda7850911n;ba80F253Dp,10,201;ba808CAB8p,10,201;ba7F9A57Cp,10,201
Pda7956E41n;ba80F6851p,10,201;ba808F870p,10,201;ba7F9901Fp,10,201
Pda7A5D372n;ba80FAE62p,10,201;ba8092849p,10,201;ba7F979E8p,10,201
Pda7B638A4n;ba80FF629p,10,201;ba809596Cp,10,201;ba7F96343p,10,201
Pda7C69DD5n;ba8103F38p,10,201;ba8098C43p,10,201;ba7F94D0Bp,10,201
Pda7D70306n;ba8108C20p,10,201;ba809C1ABp,10,201;ba7F9358Cp,10,201
Pda7E76837n;ba810DB98p,10,201;ba809F85Bp,10,201;ba7F91CC4p,10,201
Pda7F7CD68n;ba8112B7Cp,10,201;ba80A2FE6p,10,201;ba7F9046Ap,10,201
*
M0002
Pda7F85E36u;ba803D7F1p,12,201;ba7E483B8p,12,201;ba7E0ABC6p,12,201
Pda7F86268u;ba813D714p,12,202;ba7D78B9Ap,12,202;ba7C3B486p,12,202
Pda7F8669Bu;ba849238Dp,12,203;ba7DF075Ep,10,203;ba795E3D1p,12,203
Pda7F86ACDu;ba848DF30p,10,204;ba7E20D88p,10,204;ba7992E57p,10,204
Pda7F86F00u;ba8454E99p,10,204;ba7E9EAB5p,10,204;ba7A49C1Cp,10,204
Pda7F87332u;ba843CFC9p,10,204;ba7F123D2p,10,204;ba7AD5409p,10,204
Pda7F87764u;ba841BA95p,10,204;ba7F54ACEp,10,204;ba7B39038p,10,204
Pda7F87B97u;ba83EE28Fp,10,204;ba7F77B59p,10,204;ba7B898C9p,10,204
Pda7F87FC9u;ba83B5C38p,10,204;ba7F7DB0Dp,10,204;ba7BC7ED4p,10,204
Pda7F883FCu;ba837E6F8p,10,204;ba7F87847p,10,204;ba7C0914Ep,10,204
Pda7F8882Eu;ba835348Bp,10,204;ba7F900FFp,10,204;ba7C3CC73p,10,204
Pda7F88C61u;ba8329D76p,10,204;ba7F9641Dp,10,204;ba7C6C6A7p,10,204
Pda7F89093u;ba83095EEp,10,204;ba7FA04C2p,10,204;ba7C96ED3p,10,204
Pda7F894C6u;ba82EE3DAp,10,204;ba7FAA8D2p,10,204;ba7CBC4F8p,10,204
Pda7F898F8u;ba82DB3A7p,10,204;ba7FB53B8p,10,204;ba7CDA010p,10,204
Pda7F89D2Bu;ba82BFE28p,10,204;ba7FBBDADp,10,204;ba7CFBF85p,10,204
Pda7F8A15Du;ba82AA85Cp,10,204;ba7FC3F8Fp,10,204;ba7D19732p,10,204
Pda7F8A590u;ba829A12Dp,10,204;ba7FCFB8Bp,10,204;ba7D35A5Ep,10,204
Pda7F8A9C2u;ba82877D1p,14,204;ba7FD5B3Fp,14,204;ba7D4E36Ep,10,204
Pda7F8ADF5u;ba8278524p,14,204;ba7FE0990p,14,204;ba7D6846Cp,10,204
Pda7F8B227u;ba82654F1p,14,204;ba7FE43ABp,14,204;ba7D7EEB9p,10,204
Pda7F8B65Au;ba82B95E8p,14,203;ba9D9F958f,14,203;ba7D4E36Ep,10,203
Pda7F8BA8Cu;ba82AEE6Ep,14,203;baBD55394f,14,203;ba7D60CCBp,10,203
Pda7F8BEBFu;ba82A2830p,14,203;baD447D50f,14,203;ba7D73107p,10,203
Pda7F8C2F1u;ba8299F78p,10,203;ba801E1EEp,10,203;ba7D84277p,10,203
Pda7F8C724u;ba8291D96p,10,203;ba80274E7p,10,203;ba7D95751p,10,203
Pda7F8CB56u;ba828805Cp,10,203;ba8031741p,10,203;ba7DA96E5p,10,203
Pda7F8CF89u;ba8275700p,10,203;ba803FDF7p,10,203;ba7DCA6F8p,10,203
Pda7F8D3BBu;ba825EAFCp,10,203;ba805668Fp,10,203;ba7DF7B93p,10,203
Pda7F8D7EEu;ba824C1A0p,10,203;ba8066DBEp,10,203;ba7E1AC1Fp,10,203
Pda7F8DC20u;ba824714Dp,10,203;ba8074513p,10,203;ba7E2D3C6p,10,203
Pda7F8E052u;ba8255B6Fp,10,203;ba807C1D4p,10,203;ba7E26666p,10,203
Pda7F8E485u;ba8299537p,10,203;ba807FBEFp,10,203;ba7DE66B9p,10,203
Pda7F8E8B7u;ba8258628p,10,203;ba806D293p,10,203;ba7E14C6Bp,10,203
Pda7F8ECEAu;ba8206FEBp,10,203;ba804DA6Dp,10,203;ba7E46A83p,10,203
Pda7F8F11Cu;ba81DC453p,10,203;ba80326A3p,10,203;ba7E56250p,10,203
Pda7F8F54Fu;ba81DEBA2p,10,203;ba803EE96p,10,203;ba7E602F5p,10,203
Pda7F8F981u;ba820BE88p,10,203;ba8063038p,10,203;ba7E571B1p,10,203
Pda7F8FDB4u;ba82463A1p,10,203;ba8083CE0p,10,203;ba7E3D93Fp,10,203
Pda7F901E6u;ba8262517p,10,203;ba8093EEEp,10,203;ba7E319D7p,10,203
Pda7F90619u;ba825C3AEp,10,203;ba80884A7p,10,203;ba7E2C0FAp,10,203
Pda7F90A4Bu;ba82479D9p,10,203;ba8077337p,10,203;ba7E2F95Fp,10,203
Pda7F90E7Eu;ba8235908p,10,203;ba80691A2p,10,203;ba7E3389Ap,10,203
Pda7F912B0u;ba8227772p,10,203;ba8061175p,10,203;ba7E39A04p,10,203
Pda7F916E3u;ba821F8FBp,10,203;ba805D910p,10,203;ba7E3E015p,10,203
Pda7F91B15u;ba821E2C4p,10,203;ba805F0FDp,10,203;ba7E40E3Ap,10,203
Pda7F91F48u;ba8217DEFp,10,203;ba805F468p,10,203;ba7E47679p,10,203
Pda7F9237Au;ba82190BCp,10,203;ba80661C8p,10,203;ba7E4D10Cp,10,203
Pda7F927ADu;ba8216E8Ep,10,203;ba8069D98p,10,203;ba7E52F0Bp,10,203
Pda7F92BDFu;ba8215180p,10,203;ba806CD72p,10,203;ba7E57BF2p,10,203
Pda7F93012u;ba82115B0p,10,203;ba80705D7p,10,203;ba7E5F028p,10,203
Pda7F93444u;ba820E5D6p,10,203;ba8071C0Fp,10,203;ba7E6363Ap,10,203
Pda7F93877u;ba820846Dp,10,203;ba8075D00p,10,203;ba7E6D894p,10,203
Pda7F93CA9u;ba81FEE09p,10,203;ba8075EB5p,10,203;ba7E770ADp,10,203
Pda7F940DCu;ba81F49F9p,10,203;ba80791FAp,10,203;ba7E84802p,10,203
Pda7F9450Eu;ba81E760Fp,10,203;ba8077BC3p,10,203;ba7E905B4p,10,203
Pda7F94941u;ba81D69C0p,10,203;ba80798D0p,10,203;ba7EA2F11p,10,203
Pda7F94D73u;ba81C0B69p,10,203;ba8078B24p,10,203;ba7EB7FBCp,10,203
Pda7F951A5u;ba81A85C3p,10,203;ba80768F6p,10,203;ba7ECE334p,10,203
Pda7F955D8u;ba81A0E22p,10,203;ba8079DF1p,10,203;ba7ED8FCFp,10,203
Pda7F95A0Au;ba81A3571p,10,203;ba808099Bp,10,203;ba7EDD42Bp,10,203
Pda7F95E3Du;ba81AF16Ep,10,203;ba8089929p,10,203;ba7EDA7BCp,10,203
Pda7F9626Fu;ba81C6291p,10,203;ba8093663p,10,203;ba7ECD3D2p,10,203
Pda7F966A2u;ba81F3E02p,10,203;ba809EB8Ap,10,203;ba7EAAD88p,10,203
Pda7F96AD4u;ba824186Fp,10,203;ba80AF2B8p,10,203;ba7E6DA49p,10,203
Pda7F96F07u;ba8231817p,10,203;ba80C6071p,10,203;ba7E9485Bp,10,203
Pda7F97339u;ba81D4947p,10,203;ba80AE6C2p,10,203;ba7ED9D7Bp,10,203
Pda7F9776Cu;ba819E51Ep,10,203;ba8086CBAp,10,203;ba7EE879Cp,10,203
Pda7F97B9Eu;ba81A9A45p,10,203;ba8099B37p,10,203;ba7EF00F2p,10,203
Pda7F97FD1u;ba81C4E0Fp,10,203;ba80B935Dp,10,203;ba7EF454Ep,10,203
Pda7F98403u;ba81D962Fp,10,203;ba80C9A8Cp,10,203;ba7EF045Dp,10,203
Pda7F98836u;ba81DD8D5p,10,203;ba80B935Dp,10,203;ba7EDBA88p,10,203
Pda7F98C68u;ba81CCC86p,10,203;ba80A12D8p,10,203;ba7ED4652p,10,203
Pda7F9909Bu;ba81C123Fp,10,203;ba809202Bp,10,203;ba7ED0DEDp,10,203
Pda7F994CDu;ba81BD4B9p,10,203;ba8087F87p,10,203;ba7ECAACEp,10,203
Pda7F99900u;ba81C517Ap,10,203;ba808C3E2p,10,203;ba7EC7269p,10,203
Pda7F99D32u;ba81C65FCp,10,203;ba808E45Bp,10,203;ba7EC7E5Fp,10,203
Pda7F9A165u;ba81CDF52p,10,203;ba809254Cp,10,203;ba7EC45FAp,10,203
Pda7F9A597u;ba81D45DDp,10,203;ba809A20Dp,10,203;ba7EC5C31p,10,203
Pda7F9A9CAu;ba81D7096p,10,203;ba809D708p,10,203;ba7EC6672p,10,203
Pda7F9ADFCu;ba81DC0E8p,10,203;ba80A2910p,10,203;ba7EC6828p,10,203
Pda7F9B22Fu;ba81D910Ep,10,203;ba80A505Ep,10,203;ba7ECBF50p,10,203
Pda7F9B661u;ba81DC29Ep,10,203;ba80A8C2Ep,10,203;ba7ECC991p,10,203
Pda7F9BA93u;ba81D7921p,10,203;ba80A88C3p,10,203;ba7ED0FA3p,10,203
Pda7F9BEC6u;ba81D2719p,10,203;ba80A8A79p,10,203;ba7ED6360p,10,203
Pda7F9C2F8u;ba81CAF79p,10,203;ba80AB1C7p,10,203;ba7EE024Fp,10,203
Pda7F9C72Bu;ba81C07FEp,10,203;ba80A9D45p,10,203;ba7EE9548p,10,203
Pda7F9CB5Du;ba81B30A9p,10,203;ba80A7E82p,10,203;ba7EF4DDAp,10,203
Pda7F9CF90u;ba819F2CAp,10,203;ba80A5A9Fp,10,203;ba7F067D5p,10,203
Pda7F9D3C2u;ba818BF2Dp,10,203;ba80A3F47p,10,203;ba7F1801Bp,10,203
Pda7F9D7F5u;ba817ADBDp,10,203;ba809FCA1p,10,203;ba7F24EE4p,10,203
Pda7F9DC27u;ba816FF6Cp,10,203;ba809C95Cp,10,203;ba7F2C9F0p,10,203
Pda7F9E05Au;ba8176961p,10,203;ba809DA73p,10,203;ba7F27112p,10,203
