e
M0002
Pda7F85E36u;ba826E114p,14,208;ba7FA7222p,14,208;ba7D3910Dp,14,208
Pda7FCF13Au;ba8061F21p,10,201;ba8022494p,10,201;ba7FC0574p,10,201
Pda7FCF56Cu;ba8061EB4p,10,201;ba802204Fp,10,201;ba7FC019Bp,10,201
Pda7FCF99Fu;ba8061CFEp,10,201;ba8021C76p,10,201;ba7FBFF78p,10,201
Pda7FCFDD1u;ba8061C91p,10,201;ba802190Bp,10,201;ba7FBFC7Bp,10,201
Pda7FD0204u;ba8061926p,10,201;ba80213EBp,10,201;ba7FBFAC5p,10,201
Pda7FD0636u;ba80615BBp,10,201;ba8020FA5p,10,201;ba7FBF9EBp,10,201
Pda7FD0A69u;ba806132Bp,10,201;ba8020BCDp,10,201;ba7FBF8A2p,10,201
Pda7FD0E9Bu;ba8060D9Dp,10,201;ba802071Ap,10,201;ba7FBF97Dp,10,201
Pda7FD12CEu;ba80609C5p,10,201;ba8020341p,10,201;ba7FBF97Dp,10,201
Pda7FD1700u;ba80601A6p,10,201;ba801FE8Ep,10,201;ba7FBFCE8p,10,201
Pda7FD1B33u;ba805FCF3p,10,201;ba801FA48p,10,201;ba7FBFD56p,10,201
Pda7FD1F65u;ba805F543p,10,201;ba801F528p,10,201;ba7FBFFE6p,10,201
Pda7FD2398u;ba805EE6Dp,10,201;ba801F075p,10,201;ba7FC0209p,10,201
Pda7FD27CAu;ba805E64Ep,10,201;ba801EBC2p,10,201;ba7FC0574p,10,201
Pda7FD2BFDu;ba805DF0Bp,10,201;ba801E7E9p,10,201;ba7FC08DFp,10,201
Pda7FD302Fu;ba805D7C8p,10,201;ba801E47Ep,10,201;ba7FC0CB7p,10,201
Pda7FD3461u;ba805CE61p,10,201;ba801E038p,10,201;ba7FC11D8p,10,201
Pda7FD3894u;ba805C420p,10,201;ba801DBF3p,10,201;ba7FC17D3p,10,201
Pda7FD3CC6u;ba805BB95p,10,201;ba801D888p,10,201;ba7FC1CF3p,10,201
Pda7FD40F9u;ba805B1C1p,10,201;ba801D4AFp,10,201;ba7FC22EFp,10,201
Pda7FD452Bu;ba805A55Dp,10,201;ba801D06Ap,10,201;ba7FC2B0Dp,10,201
Pda7FD495Eu;ba8059B8Ap,10,201;ba801CC91p,10,201;ba7FC3108p,10,201
Pda7FD4D90u;ba805906Ep,10,201;ba801C994p,10,201;ba7FC3926p,10,201
Pda7FD51C3u;ba8058478p,10,201;ba801C5BBp,10,201;ba7FC4144p,10,201
Pda7FD55F5u;ba8057881p,10,201;ba801C1E3p,10,201;ba7FC4962p,10,201
Pda7FD5A28u;ba8056C1Dp,10,201;ba801BE78p,10,201;ba7FC525Bp,10,201
Pda7FD5E5Au;ba8056102p,10,201;ba801BB0Dp,10,201;ba7FC5A0Cp,10,201
Pda7FD628Du;ba805550Bp,10,201;ba801B80Fp,10,201;ba7FC6305p,10,201
Pda7FD66BFu;ba80546F2p,10,201;ba801B3CAp,10,201;ba7FC6CD8p,10,201
Pda7FD6AF2u;ba8053B69p,10,201;ba801B1A7p,10,201;ba7FC763Fp,10,201
Pda7FD6F24u;ba8052F05p,10,201;ba801AE3Cp,10,201;ba7FC7F37p,10,201
Pda7FD7357u;ba8052234p,10,201;ba801AAD1p,10,201;ba7FC889Ep,10,201
Pda7FD7789u;ba8051488p,10,201;ba801A7D3p,10,201;ba7FC934Cp,10,201
Pda7FD7BBCu;ba8050749p,10,201;ba801A468p,10,201;ba7FC9D20p,10,201
Pda7FD7FEEu;ba804FAE5p,10,201;ba801A1D8p,10,201;ba7FCA6F3p,10,201
Pda7FD8421u;ba804ED39p,10,201;ba8019EDAp,10,201;ba7FCB1A2p,10,201
Pda7FD8853u;ba804E0D5p,10,201;ba8019BDDp,10,201;ba7FCBB08p,10,201
Pda7FD8C86u;ba804D404p,10,201;ba801994Cp,10,201;ba7FCC549p,10,201
Pda7FD90B8u;ba804C6C5p,10,201;ba801964Fp,10,201;ba7FCCF8Ap,10,201
Pda7FD94EBu;ba804BB3Cp,10,201;ba801942Cp,10,201;ba7FCD8F0p,10,201
Pda7FD991Du;ba804AE6Bp,10,201;ba801919Cp,10,201;ba7FCE331p,10,201
Pda7FD9D50u;ba804A2E2p,10,201;ba8018F0Bp,10,201;ba7FCEC2Ap,10,201
Pda7FDA182u;ba8049611p,10,201;ba8018CE8p,10,201;ba7FCF6D8p,10,201
Pda7FDA5B4u;ba8048AF5p,10,201;ba8018A58p,10,201;ba7FCFF64p,10,201
Pda7FDA9E7u;ba8047FD9p,10,201;ba80188A3p,10,201;ba7FD08CAp,10,201
Pda7FDAE19u;ba804752Bp,10,201;ba80186EDp,10,201;ba7FD11C3p,10,201
Pda7FDB24Cu;ba8046A0Fp,10,201;baDEEB838f,10,201;ba7FD1ABCp,10,201
Pda7FDB67Eu;ba80460A9p,10,201;baDE9B680f,10,201;ba7FD22DAp,10,201
Pda7FDBAB1u;ba80456D5p,10,201;baDE4B4C8f,10,201;ba7FD2B65p,10,201
Pda7FDBEE3u;ba8044C94p,10,201;baDDE07C8f,10,201;ba7FD33F1p,10,201
Pda7FDC316u;ba8044409p,10,201;baDDAB148f,10,201;ba7FD3BA2p,10,201
Pda7FDC748u;ba8043B10p,10,201;baDD75AD0f,10,201;ba7FD43C0p,10,201
Pda7FDCB7Bu;ba8043217p,10,201;baDD40450f,10,201;ba7FD4BDEp,10,201
Pda7FDCFADu;ba804298Cp,10,201;baDCF0290f,10,201;ba7FD5321p,10,201
Pda7FDD3E0u;ba80421DBp,10,201;baDCF0290f,10,201;ba7FD5AD2p,10,201
Pda7FDD812u;ba8041A2Ap,10,201;baDCD5758f,10,201;ba7FD6215p,10,201
Pda7FDDC45u;ba804120Cp,10,201;baDC85598f,10,201;ba7FD68EBp,10,201
Pda7FDE077u;ba8040AC9p,10,201;baDC6AA60f,10,201;ba7FD6FC1p,10,201
Pda7FDE4AAu;ba8040385p,10,201;baDC353E0f,10,201;ba7FD762Ap,10,201
Pda7FDE8DCu;ba803FD8Ap,10,201;baDC353E0f,10,201;ba7FD7C25p,10,201
Pda7FDED0Fu;ba803F78Fp,10,201;baDC4FF20f,10,201;ba7FD828Ep,10,201
Pda7FDF141u;ba803F26Ep,10,201;baDC353E0f,10,201;ba7FD8741p,10,201
Pda7FDF574u;ba803EC06p,10,201;baDC353E0f,10,201;ba7FD8DA9p,10,201
Pda7FDF9A6u;ba803E6E5p,10,201;baDC353E0f,10,201;ba7FD92CAp,10,201
Pda7FDFDD9u;ba803E29Fp,10,201;baDC6AA60f,10,201;ba7FD97EAp,10,201
Pda7FE020Bu;ba803DCA4p,10,201;baDC6AA60f,10,201;ba7FD9DE6p,10,201
Pda7FE063Eu;ba803D8CCp,10,201;baDC85598f,10,201;ba7FDA22Bp,10,201
Pda7FE0A70u;ba803D4F3p,10,201;baDCA00D8f,10,201;ba7FDA671p,10,201
Pda7FE0EA2u;ba803D188p,10,201;baDCBAC18f,10,201;ba7FDAA4Ap,10,201
Pda7FE12D5u;ba803CE8Bp,10,201;baDCF0290f,10,201;ba7FDAE22p,10,201
Pda7FE1707u;ba803CC68p,10,201;baDD40450f,10,201;ba7FDB18Dp,10,201
Pda7FE1B3Au;ba803C890p,10,201;baDD5AF90f,10,201;ba7FDB5D3p,10,201
Pda7FE1F6Cu;ba803C6DAp,10,201;baDDAB148f,10,201;ba7FDB8D0p,10,201
Pda7FE239Fu;ba803C525p,10,201;baDDE07C8f,10,201;ba7FDBB61p,10,201
Pda7FE27D1u;ba803C36Fp,10,201;baDE30980f,10,201;ba7FDBE5Ep,10,201
Pda7FE2C04u;ba803C294p,10,201;baDE80B40f,10,201;ba7FDC081p,10,201
Pda7FE3036u;ba803C14Cp,10,201;baDED0CF8f,10,201;ba7FDC311p,10,201
Pda7FE3469u;ba803C1BAp,10,201;baDF3B9F0f,10,201;ba7FDC459p,10,201
Pda7FE389Bu;ba803C294p,10,201;ba8018835p,10,201;ba7FDC5A2p,10,201
Pda7FE3CCEu;ba803C294p,10,201;ba80189EBp,10,201;ba7FDC757p,10,201
Pda7FE4100u;ba803C302p,10,201;ba8018C0Ep,10,201;ba7FDC90Dp,10,201
Pda7FE4533u;ba803C4B7p,10,201;ba8018E9Ep,10,201;ba7FDC9E7p,10,201
Pda7FE4965u;ba803C5FFp,10,201;ba80190C1p,10,201;ba7FDCAC2p,10,201
Pda7FE4D98u;ba803C7B5p,10,201;ba80193BEp,10,201;ba7FDCC0Ap,10,201
Pda7FE51CAu;ba803C9D8p,10,201;ba801964Fp,10,201;ba7FDCC78p,10,201
Pda7FE55FDu;ba803CB8Dp,10,201;ba80198DFp,10,201;ba7FDCD52p,10,201
Pda7FE5A2Fu;ba803CE1Dp,10,201;ba8019BDDp,10,201;ba7FDCDC0p,10,201
Pda7FE5E62u;ba803D188p,10,201;ba8019F48p,10,201;ba7FDCDC0p,10,201
Pda7FE6294u;ba803D419p,10,201;ba801A245p,10,201;ba7FDCE2Dp,10,201
Pda7FE66C7u;ba803D716p,10,201;ba801A543p,10,201;ba7FDCE2Dp,10,201
Pda7FE6AF9u;ba803DB5Cp,10,201;ba801A8AEp,10,201;ba7FDCD52p,10,201
Pda7FE6F2Cu;ba803DEC7p,10,201;ba801ABABp,10,201;ba7FDCCE5p,10,201
Pda7FE735Eu;ba803E3E7p,10,201;ba801AFF1p,10,201;ba7FDCC0Ap,10,201
Pda7FE7791u;ba803E7C0p,10,201;ba801B35Cp,10,201;ba7FDCB9Dp,10,201
Pda2136FC0n;ba803EC06p,10,201;ba801B734p,10,201;ba7FDCB2Fp,10,201
Pda223D4F8n;ba803F126p,10,201;ba801BA9Fp,10,201;ba7FDC97Ap,10,201
Pda2343A28n;ba803F4FEp,10,201;ba801BE78p,10,201;ba7FDC97Ap,10,201
Pda2449F60n;ba803FA8Cp,10,201;ba801C2BEp,10,201;ba7FDC832p,10,201
Pda2550488n;ba80400F5p,10,201;ba801C771p,10,201;ba7FDC67Cp,10,201
Pda26569B8n;ba8040615p,10,201;ba801CB49p,10,201;ba7FDC534p,10,201
Pda275CEF0n;ba8040C11p,10,201;ba801CF8Fp,10,201;ba7FDC37Fp,10,201
Pda2863418n;ba804120Cp,10,201;ba801D3D5p,10,201;ba7FDC1C9p,10,201
Pda2969950n;ba8041875p,10,201;ba801D888p,10,201;ba7FDC014p,10,201
Pda2A6FE80n;ba8041EDDp,10,201;ba801DD3Bp,10,201;ba7FDBE5Ep,10,201
Pda2B763B0n;ba80425B3p,10,201;ba801E25Bp,10,201;ba7FDBCA9p,10,201
Pda2C7C8E0n;ba8042D64p,10,201;ba801E70Ep,10,201;ba7FDB9ABp,10,201
Pda2D82E10n;ba804343Ap,10,201;ba801EC2Fp,10,201;ba7FDB7F6p,10,201
Pda2E89348n;ba8043CC5p,10,201;ba801F14Fp,10,201;ba7FDB48Bp,10,201
Pda2F8F878n;ba8044409p,10,201;ba801F603p,10,201;ba7FDB1FAp,10,201
Pda3095DA8n;ba8044D02p,10,201;ba801FBFEp,10,201;ba7FDAEFDp,10,201
Pda319C2D8n;ba8045668p,10,201;ba80201F9p,10,201;ba7FDAB92p,10,201
Pda32A2808n;ba8045EF3p,10,201;ba8020787p,10,201;ba7FDA894p,10,201
Pda33A8D38n;ba80467ECp,10,201;ba8020D15p,10,201;ba7FDA529p,10,201
Pda34AF268n;ba8047152p,10,201;ba802137Dp,10,201;ba7FDA22Bp,10,201
Pda35B57A0n;ba8047B26p,10,201;ba8021A53p,10,201;ba7FD9F2Ep,10,201
Pda36BBCD0n;ba8048567p,10,201;ba8022129p,10,201;ba7FD9BC3p,10,201
Pda37C21F8n;ba8048FA8p,10,201;ba8022792p,10,201;ba7FD97EAp,10,201
Pda38C8730n;ba804997Cp,10,201;ba8022DFBp,10,201;ba7FD947Fp,10,201
Pda39CEC60n;ba804A497p,10,201;ba80234D1p,10,201;ba7FD903Ap,10,201
Pda3AD5190n;ba804AFB3p,10,201;ba8023C14p,10,201;ba7FD8C61p,10,201
Pda3BDB6C0n;ba804BB3Cp,10,201;ba8024357p,10,201;ba7FD881Cp,10,201
Pda3CE1BF0n;ba804C658p,10,201;ba8024A2Dp,10,201;ba7FD83D6p,10,201
Pda3DE8128n;ba804D1E1p,10,201;ba80251DEp,10,201;ba7FD7FFDp,10,201
Pda3EEE650n;ba804DC8Fp,10,201;ba80258B4p,10,201;ba7FD7C25p,10,201
Pda3FF4B88n;ba804E8F3p,10,201;ba8026065p,10,201;ba7FD7772p,10,201
Pda40FB0B8n;ba804F5C5p,10,201;ba8026883p,10,201;ba7FD72BFp,10,201
Pda42015E4n;ba80501BBp,10,201;ba80270A1p,10,201;ba7FD6EE6p,10,201
Pda4307B1Cn;ba8050E1Fp,10,201;ba8027852p,10,201;ba7FD6A33p,10,201
Pda440E048n;ba8051AF0p,10,201;ba8028070p,10,201;ba7FD6580p,10,201
Pda451457Cn;ba805289Cp,10,201;ba80288FBp,10,201;ba7FD6060p,10,201
Pda461AAACn;ba80535DBp,10,201;ba8029187p,10,201;ba7FD5BADp,10,201
Pda4720FDCn;ba8054387p,10,201;ba80299A5p,10,201;ba7FD561Fp,10,201
Pda4827510n;ba8055133p,10,201;ba802A29Ep,10,201;ba7FD516Cp,10,201
Pda492DA40n;ba8055F4Cp,10,201;ba802AB97p,10,201;ba7FD4C4Bp,10,201
Pda4A33F70n;ba8056D65p,10,201;ba802B490p,10,201;ba7FD472Bp,10,201
Pda4B3A4A0n;ba8057C5Ap,10,201;ba802BD88p,10,201;ba7FD412Fp,10,201
Pda4C409D4n;ba8058B4Ep,10,201;ba802C6EFp,10,201;ba7FD3BA2p,10,201
Pda4D46F04n;ba80599D4p,10,201;ba802CFE8p,10,201;ba7FD3614p,10,201
Pda4E4D438n;ba805A9A3p,10,201;ba802D9BBp,10,201;ba7FD3018p,10,201
Pda4F53964n;ba805BA4Dp,10,201;ba802E38Fp,10,201;ba7FD2942p,10,201
Pda5059E98n;ba805C9AEp,10,201;ba802EDD0p,10,201;ba7FD2422p,10,201
Pda51603C8n;ba805DAC5p,10,201;ba802F7A3p,10,201;ba7FD1CDFp,10,201
Pda52668F8n;ba805EBDCp,10,201;ba8030252p,10,201;ba7FD1676p,10,201
Pda536CE2Cn;ba805FCF3p,10,201;ba8030D00p,10,201;ba7FD100Dp,10,201
Pda5473358n;ba8060F52p,10,201;ba803181Cp,10,201;ba7FD08CAp,10,201
Pda557988Cn;ba80620D7p,10,201;ba80323A5p,10,201;ba7FD02CFp,10,201
Pda567FDBCn;ba80632C8p,10,201;ba8032EC1p,10,201;ba7FCFBF9p,10,201
Pda57862F0n;ba8064602p,10,201;ba8033AB7p,10,201;ba7FCF4B5p,10,201
Pda588C820n;ba80657F4p,10,201;ba8034640p,10,201;ba7FCEE4Dp,10,201
Pda5992D54n;ba8066B9Bp,10,201;ba8035237p,10,201;ba7FCE69Cp,10,201
Pda5A99280n;ba8067F42p,10,201;ba8035E9Bp,10,201;ba7FCDF59p,10,201
Pda5B9F7B0n;ba80693C4p,10,201;ba8036B6Cp,10,201;ba7FCD7A8p,10,201
Pda5CA5CE4n;ba806A691p,10,201;ba8037762p,10,201;ba7FCD0D2p,10,201
Pda5DAC214n;ba806BB13p,10,201;ba8038434p,10,201;ba7FCC921p,10,201
Pda5EB2748n;ba806D070p,10,201;ba8039172p,10,201;ba7FCC103p,10,201
Pda5FB8C74n;ba806E55Fp,10,201;ba8039EB1p,10,201;ba7FCB952p,10,201
Pda60BF1A6n;ba806FA4Ep,10,201;ba803ABEFp,10,201;ba7FCB1A2p,10,201
Pda61C56D8n;ba8071018p,10,201;ba803BA09p,10,201;ba7FCA9F1p,10,201
Pda62CBC0An;ba8072650p,10,201;ba803C7B5p,10,201;ba7FCA165p,10,201
Pda63D213An;ba8073C1Ap,10,201;ba803D5CEp,10,201;ba7FC99B5p,10,201
Pda64D866Cn;ba8075407p,10,201;ba803E4C2p,10,201;ba7FC90BCp,10,201
Pda65DEB9En;ba8076A3Ep,10,201;ba803F349p,10,201;ba7FC890Bp,10,201
Pda66E50CEn;ba80781BEp,10,201;ba80401D0p,10,201;ba7FC8012p,10,201
Pda67EB600n;ba807993Ep,10,201;ba8041131p,10,201;ba7FC77F4p,10,201
Pda68F1B30n;ba807B198p,10,201;ba8042100p,10,201;ba7FC6F69p,10,201
Pda69F8062n;ba807CACDp,10,201;ba80430CFp,10,201;ba7FC6602p,10,201
Pda6AFE592n;ba807E395p,10,201;ba804409Ep,10,201;ba7FC5D09p,10,201
Pda6C04AC2n;ba807FD37p,10,201;ba8045147p,10,201;ba7FC5411p,10,201
Pda6D0AFF4n;ba80817B5p,10,201;ba80461F1p,10,201;ba7FC4A3Dp,10,201
Pda6E11526n;ba80831C4p,10,201;ba804729Bp,10,201;ba7FC40D7p,10,201
Pda6F17A56n;ba8084D1Cp,10,201;ba80483B2p,10,201;ba7FC3696p,10,201
Pda701DF88n;ba80868E2p,10,201;ba8049536p,10,201;ba7FC2C55p,10,201
Pda71244B9n;ba8088582p,10,201;ba804A795p,10,201;ba7FC2214p,10,201
Pda722A9EAn;ba808A36Ap,10,201;ba804BACFp,10,201;ba7FC1765p,10,201
Pda7330F1An;ba808C152p,10,201;ba804CD9Bp,10,201;ba7FC0C4Ap,10,201
Pda743744Cn;ba808DFA8p,10,201;ba804E1B0p,10,201;ba7FC0209p,10,201
Pda753D97Dn;ba808FED8p,10,201;ba804F5C5p,10,201;ba7FBF6EDp,10,201
Pda7643EAEn;ba8091E76p,10,201;ba8050AB4p,10,201;ba7FBEC3Fp,10,201
Pda774A3DFn;ba8093F5Cp,10,201;ba8052011p,10,201;ba7FBE0B5p,10,201
Pda7850911n;ba8095FD4p,10,201;ba8053500p,10,201;ba7FBD52Cp,10,201
Pda7956E41n;ba8098127p,10,201;ba8054B37p,10,201;ba7FBCA11p,10,201
Pda7A5D372n;ba809A3C3p,10,201;ba80561DCp,10,201;ba7FBBE1Ap,10,201
Pda7B638A4n;ba809C65Ep,10,201;ba80578EFp,10,201;ba7FBB291p,10,201
Pda7C69DD5n;ba809EA42p,10,201;ba805906Ep,10,201;ba7FBA62Dp,10,201
Pda7D70306n;ba80A0E92p,10,201;ba805A85Bp,10,201;ba7FB99C9p,10,201
Pda7E76837n;ba80A3351p,10,201;ba805C0B5p,10,201;ba7FB8D65p,10,201
Pda7F7CD68n;ba80A580Fp,10,201;ba805D97Dp,10,201;ba7FB816Fp,10,201
*
M0002
Pda7F85E36u;ba8059447p,12,201;ba7E62F64p,12,201;ba7E09B1Dp,12,201
Pda7F86268u;ba81E098Ap,12,202;ba7E33455p,10,202;ba7C52ACAp,12,202
Pda7F8669Bu;ba83AD381p,12,203;ba7E251E4p,10,203;ba7A77E63p,12,203
Pda7F86ACDu;ba8401D03p,10,204;ba7EFBCEFp,10,204;ba7AF9FECp,10,204
Pda7F86F00u;ba83742E8p,10,204;ba7F1A249p,10,204;ba7BA5F60p,10,204
Pda7F87332u;ba83002F5p,10,204;ba7F186F1p,10,204;ba7C183FBp,10,204
Pda7F87764u;ba82B8D5Dp,10,204;ba7F219EAp,10,204;ba7C68C8Cp,10,204
Pda7F87B97u;ba82944E5p,10,204;ba7F3F86Dp,10,204;ba7CAB388p,10,204
Pda7F87FC9u;ba828C9D9p,10,204;ba7F65C3Dp,10,204;ba7CD9264p,10,204
Pda7F883FCu;ba8281147p,10,204;ba7F88CC9p,10,204;ba7D07B81p,10,204
Pda7F8882Eu;ba8280DDCp,10,204;ba7FAE658p,10,204;ba7D2D87Cp,10,204
Pda7F88C61u;ba8275C20p,10,204;ba7FC577Cp,10,204;ba7D4FB5Bp,10,204
Pda7F89093u;ba82739F2p,14,204;ba7FDB0B2p,14,204;ba7D676C0p,10,204
Pda7F894C6u;ba82710EEp,14,204;ba43EB358f,14,204;ba7D7F8FAp,10,204
Pda7F898F8u;ba8266608p,14,204;ba6F4F8EEf,14,204;ba7D9559Cp,10,204
Pda7F89D2Bu;ba8298AF6p,10,203;ba7FE2853p,10,203;ba7D49D5Dp,10,203
Pda7F8A15Du;ba829C35Bp,14,203;ba4CAE3DCf,14,203;ba7D56A70p,10,203
Pda7F8A590u;ba8299DC2p,14,203;ba83C14CAf,14,203;ba7D6719Fp,10,203
Pda7F8A9C2u;ba8299F78p,14,203;baBCEA69Cf,14,203;ba7D75A0Bp,10,203
Pda7F8ADF5u;ba8297153p,10,203;ba8019507p,10,203;ba7D823B4p,10,203
Pda7F8B227u;ba8293583p,10,203;ba801F670p,10,203;ba7D8C0EDp,10,203
Pda7F8B65Au;ba828DCA5p,10,203;ba802A9E1p,10,203;ba7D9CD3Dp,10,203
Pda7F8BA8Cu;ba8282AE9p,10,203;ba802B943p,10,203;ba7DA8E5Ap,10,203
Pda7F8BEBFu;ba8276D37p,10,203;ba802FA34p,10,203;ba7DB8CFDp,10,203
Pda7F8C2F1u;ba8262A38p,10,203;ba803010Ap,10,203;ba7DCD6D2p,10,203
Pda7F8C724u;ba82548A2p,10,203;ba8030B4Bp,10,203;ba7DDC2A9p,10,203
Pda7F8CB56u;ba8238056p,10,203;ba8028E89p,10,203;ba7DF0E34p,10,203
Pda7F8CF89u;ba821A1D3p,10,203;ba80222DFp,10,203;ba7E0810Dp,10,203
Pda7F8D3BBu;ba81FB238p,10,203;ba801D962p,10,203;ba7E2272Bp,10,203
Pda7F8D7EEu;ba81DF0C2p,10,203;ba8021A53p,10,203;ba7E42992p,10,203
Pda7F8DC20u;ba81DB187p,10,203;ba802CC0Fp,10,203;ba7E51A89p,10,203
Pda7F8E052u;ba81E9D5Ep,10,203;ba803753Fp,10,203;ba7E4D7E2p,10,203
Pda7F8E485u;ba8231661p,10,203;ba80324EDp,10,203;ba7E00E8Cp,10,203
Pda7F8E8B7u;ba8219AFDp,10,203;ba804945Bp,10,203;ba7E2F95Fp,10,203
Pda7F8ECEAu;ba81ED5C3p,10,203;ba805C2D8p,10,203;ba7E6ED16p,10,203
Pda7F8F11Cu;ba81F0E28p,10,203;ba805C123p,10,203;ba7E6B2FBp,10,203
Pda7F8F54Fu;ba8205B69p,10,203;ba8061BB6p,10,203;ba7E5C04Ep,10,203
Pda7F8F981u;ba820623Ep,10,203;ba8054CEDp,10,203;ba7E4EAAFp,10,203
Pda7F8FDB4u;ba81FBE2Fp,10,203;ba8049E9Cp,10,203;ba7E4E06Ep,10,203
Pda7F901E6u;ba81EF2D0p,10,203;ba803E29Fp,10,203;ba7E4EFCFp,10,203
Pda7F90619u;ba81E3F5Fp,10,203;ba8035832p,10,203;ba7E518D3p,10,203
Pda7F90A4Bu;ba81E4480p,10,203;ba80382EBp,10,203;ba7E53E6Cp,10,203
Pda7F90E7Eu;ba81EFD11p,10,203;ba804818Fp,10,203;ba7E5847Ep,10,203
Pda7F912B0u;ba82057FDp,10,203;ba805DE30p,10,203;ba7E58633p,10,203
Pda7F916E3u;ba8212D9Dp,10,203;ba806BC5Bp,10,203;ba7E58EBFp,10,203
Pda7F91B15u;ba821AC14p,10,203;ba8077858p,10,203;ba7E5CC45p,10,203
Pda7F91F48u;ba821EEBAp,10,203;ba807E402p,10,203;ba7E5F549p,10,203
Pda7F9237Au;ba8222FABp,10,203;ba808456Cp,10,203;ba7E615C1p,10,203
Pda7F927ADu;ba821E62Fp,10,203;ba80882F2p,10,203;ba7E69CC3p,10,203
Pda7F92BDFu;ba8220D7Dp,10,203;ba808D18Ep,10,203;ba7E6C412p,10,203
Pda7F93012u;ba821BD2Bp,10,203;ba808E0F0p,10,203;ba7E723C6p,10,203
Pda7F93444u;ba821B134p,10,203;ba8090F14p,10,203;ba7E75DE1p,10,203
Pda7F93877u;ba82178CFp,10,203;ba8093142p,10,203;ba7E7B874p,10,203
Pda7F93CA9u;ba8211AD0p,10,203;ba809440Fp,10,203;ba7E8293Fp,10,203
Pda7F940DCu;ba820C713p,10,203;ba8093663p,10,203;ba7E86F50p,10,203
Pda7F9450Eu;ba8203AF0p,10,203;ba8092C22p,10,203;ba7E8F132p,10,203
Pda7F94941u;ba81FCD90p,10,203;ba8092DD7p,10,203;ba7E96048p,10,203
Pda7F94D73u;ba81F3056p,10,203;ba808F207p,10,203;ba7E9C1B1p,10,203
Pda7F951A5u;ba81E574Cp,10,203;ba808BEC2p,10,203;ba7EA6776p,10,203
Pda7F955D8u;ba81D1298p,10,203;ba8085D59p,10,203;ba7EB4AC2p,10,203
Pda7F95A0Au;ba81B3935p,10,203;ba807971Bp,10,203;ba7EC5DE7p,10,203
Pda7F95E3Du;ba818A3D5p,10,203;ba806764Ap,10,203;ba7EDD275p,10,203
Pda7F9626Fu;ba8176961p,10,203;ba805B377p,10,203;ba7EE4A16p,10,203
Pda7F966A2u;ba819F115p,10,203;ba80553C3p,10,203;ba7EB62AEp,10,203
Pda7F96AD4u;ba81BA4DFp,10,203;ba8055C4Ep,10,203;ba7E9B770p,10,203
Pda7F96F07u;ba81CCFF1p,10,203;ba8069A2Dp,10,203;ba7E9CA3Dp,10,203
Pda7F97339u;ba81A1F39p,10,203;ba80871DBp,10,203;ba7EE52A2p,10,203
Pda7F9776Cu;ba81A22A4p,10,203;ba809886Bp,10,203;ba7EF65C7p,10,203
Pda7F97B9Eu;ba81B0285p,10,203;ba808FDFDp,10,203;ba7EDFB79p,10,203
Pda7F97FD1u;ba81A79CDp,10,203;ba807CDCBp,10,203;ba7ED53FEp,10,203
Pda7F98403u;ba819856Bp,10,203;ba8068E37p,10,203;ba7ED08CDp,10,203
Pda7F98836u;ba818887Dp,10,203;ba805668Fp,10,203;ba7ECDE13p,10,203
Pda7F98C68u;ba8193DA4p,10,203;ba805E506p,10,203;ba7ECA763p,10,203
Pda7F9909Bu;ba81A8C99p,10,203;ba8071539p,10,203;ba7EC88A0p,10,203
Pda7F994CDu;ba81C1089p,10,203;ba8086E70p,10,203;ba7EC5DE7p,10,203
Pda7F99900u;ba81D0BC2p,10,203;ba8092F8Dp,10,203;ba7EC23CCp,10,203
Pda7F99D32u;ba81D7FF8p,10,203;ba809BF1Bp,10,203;ba7EC3F24p,10,203
Pda7F9A165u;ba81DCB29p,10,203;ba80A0897p,10,203;ba7EC3D6Ep,10,203
Pda7F9A597u;ba81DE161p,10,203;ba80A2AC5p,10,203;ba7EC4965p,10,203
Pda7F9A9CAu;ba81E038Fp,10,203;ba80A728Cp,10,203;ba7EC6EFEp,10,203
Pda7F9ADFCu;ba81E1811p,10,203;ba80A94BAp,10,203;ba7EC7CAAp,10,203
Pda7F9B22Fu;ba81DCCDFp,10,203;ba80A9B90p,10,203;ba7ECCEB2p,10,203
Pda7F9B661u;ba81E14A6p,10,203;ba80AC649p,10,203;ba7ECB1A4p,10,203
Pda7F9BA93u;ba81DC0E8p,10,203;ba80ACED5p,10,203;ba7ED0DEDp,10,203
Pda7F9BEC6u;ba81DB6A7p,10,203;ba80AD08Ap,10,203;ba7ED19E4p,10,203
Pda7F9C2F8u;ba81D9EBAp,10,203;ba80AD760p,10,203;ba7ED38A6p,10,203
Pda7F9C72Bu;ba81D2719p,10,203;ba80AC2DEp,10,203;ba7ED9BC5p,10,203
Pda7F9CB5Du;ba81D144Dp,10,203;ba80ACD1Fp,10,203;ba7EDB8D3p,10,203
Pda7F9CF90u;ba81C9941p,10,203;ba80ABA53p,10,203;ba7EE2112p,10,203
Pda7F9D3C2u;ba81C250Bp,10,203;ba80A9D45p,10,203;ba7EE783Bp,10,203
Pda7F9D7F5u;ba81B7BDBp,10,203;ba80A8038p,10,203;ba7EF045Dp,10,203
Pda7F9DC27u;ba81A49F3p,10,203;ba80A223Ap,10,203;ba7EFD847p,10,203
Pda7F9E05Au;ba8187E3Cp,10,203;ba809707Ep,10,203;ba7F0F242p,10,203
Pda7F9E48Cu;ba81657F2p,10,203;ba808865Dp,10,203;ba7F22E6Cp,10,203
