e
M0002
Pda7F85E36u;ba82D8062p,14,208;ba7F8BCA3p,14,208;ba7CB3C40p,10,208
Pda7FCED07u;ba8055876p,10,201;ba801CDD9p,10,201;ba7FC7564p,10,201
Pda7FCF13Au;ba80559BEp,10,201;ba801CBB6p,10,201;ba7FC71F9p,10,201
Pda7FCF56Cu;ba8055A2Cp,10,201;ba801C994p,10,201;ba7FC6F69p,10,201
Pda7FCF99Fu;ba80559BEp,10,201;ba801C703p,10,201;ba7FC6D46p,10,201
Pda7FCFDD1u;ba8055B06p,10,201;ba801C4E0p,10,201;ba7FC69DBp,10,201
Pda7FD0204u;ba8055951p,10,201;ba801C1E3p,10,201;ba7FC6893p,10,201
Pda7FD0636u;ba80558E3p,10,201;ba801C02Dp,10,201;ba7FC674Ap,10,201
Pda7FD0A69u;ba80556C1p,10,201;ba801BD30p,10,201;ba7FC6670p,10,201
Pda7FD0E9Bu;ba805549Ep,10,201;ba801BA9Fp,10,201;ba7FC6602p,10,201
Pda7FD12CEu;ba805520Dp,10,201;ba801B87Dp,10,201;ba7FC6670p,10,201
Pda7FD1700u;ba8054F10p,10,201;ba801B5ECp,10,201;ba7FC66DDp,10,201
Pda7FD1B33u;ba8054C12p,10,201;ba801B35Cp,10,201;ba7FC674Ap,10,201
Pda7FD1F65u;ba805483Ap,10,201;ba801B05Fp,10,201;ba7FC6825p,10,201
Pda7FD2398u;ba8054387p,10,201;ba801ADCEp,10,201;ba7FC6A48p,10,201
Pda7FD27CAu;ba8053FAEp,10,201;ba801AB3Ep,10,201;ba7FC6B90p,10,201
Pda7FD2BFDu;ba8053AFBp,10,201;ba801A989p,10,201;ba7FC6E8Ep,10,201
Pda7FD302Fu;ba8053648p,10,201;ba801A766p,10,201;ba7FC711Ep,10,201
Pda7FD3461u;ba8053128p,10,201;ba801A543p,10,201;ba7FC741Cp,10,201
Pda7FD3894u;ba8052C74p,10,201;ba801A3FBp,10,201;ba7FC7787p,10,201
Pda7FD3CC6u;ba805260Cp,10,201;ba801A16Ap,10,201;ba7FC7B5Fp,10,201
Pda7FD40F9u;ba8052011p,10,201;ba8019FB5p,10,201;ba7FC7FA5p,10,201
Pda7FD452Bu;ba805193Bp,10,201;ba8019DFFp,10,201;ba7FC84C5p,10,201
Pda7FD495Eu;ba80512D2p,10,201;ba8019CB7p,10,201;ba7FC89E6p,10,201
Pda7FD4D90u;ba8050B8Fp,10,201;ba8019A27p,10,201;ba7FC8E99p,10,201
Pda7FD51C3u;ba805044Bp,10,201;ba8019872p,10,201;ba7FC9427p,10,201
Pda7FD55F5u;ba804FC9Bp,10,201;ba80196BCp,10,201;ba7FC9A22p,10,201
Pda7FD5A28u;ba804F557p,10,201;ba8019574p,10,201;ba7FCA01Dp,10,201
Pda7FD5E5Au;ba804EE81p,10,201;ba801942Cp,10,201;ba7FCA5ABp,10,201
Pda7FD628Du;ba804E73Ep,10,201;ba80192E4p,10,201;ba7FCABA6p,10,201
Pda7FD66BFu;ba804DF20p,10,201;ba801919Cp,10,201;ba7FCB27Cp,10,201
Pda7FD6AF2u;ba804D7DCp,10,201;ba8018FE6p,10,201;ba7FCB80Ap,10,201
Pda7FD6F24u;ba804CF51p,10,201;ba8018F0Bp,10,201;ba7FCBFBBp,10,201
Pda7FD7357u;ba804C80Dp,10,201;ba8018DC3p,10,201;ba7FCC5B6p,10,201
Pda7FD7789u;ba804BF82p,10,201;ba8018C0Ep,10,201;ba7FCCC8Cp,10,201
Pda7FD7BBCu;ba804B764p,10,201;ba8018B33p,10,201;ba7FCD3D0p,10,201
Pda7FD7FEEu;ba804B021p,10,201;ba8018AC6p,10,201;ba7FCDAA6p,10,201
Pda7FD8421u;ba804A802p,10,201;ba80189EBp,10,201;ba7FCE1E9p,10,201
Pda7FD8853u;ba804A12Cp,10,201;ba8018910p,10,201;ba7FCE7E4p,10,201
Pda7FD8C86u;ba804997Cp,10,201;ba8018835p,10,201;ba7FCEEBAp,10,201
Pda7FD90B8u;ba8049238p,10,201;ba8018835p,10,201;ba7FCF5FEp,10,201
Pda7FD94EBu;ba8048AF5p,10,201;ba801875Bp,10,201;ba7FCFC66p,10,201
Pda7FD991Du;ba80482D7p,10,201;baDF56530f,10,201;ba7FD03A9p,10,201
Pda7FD9D50u;ba8047C01p,10,201;baDF3B9F0f,10,201;ba7FD0A12p,10,201
Pda7FDA182u;ba8047673p,10,201;baDF3B9F0f,10,201;ba7FD0FA0p,10,201
Pda7FDA5B4u;ba8047078p,10,201;baDF20EB0f,10,201;ba7FD152Ep,10,201
Pda7FDA9E7u;ba8046A7Cp,10,201;baDF3B9F0f,10,201;ba7FD1B96p,10,201
Pda7FDAE19u;ba8046414p,10,201;baDF20EB0f,10,201;ba7FD2192p,10,201
Pda7FDB24Cu;ba804603Bp,10,201;baDF56530f,10,201;ba7FD2645p,10,201
Pda7FDB67Eu;ba8045B1Bp,10,201;baDF56530f,10,201;ba7FD2B65p,10,201
Pda7FDBAB1u;ba80455FAp,10,201;ba801875Bp,10,201;ba7FD3161p,10,201
Pda7FDBEE3u;ba80451B5p,10,201;ba8018835p,10,201;ba7FD3681p,10,201
Pda7FDC316u;ba8044D6Fp,10,201;ba8018910p,10,201;ba7FD3BA2p,10,201
Pda7FDC748u;ba8044997p,10,201;ba8018A58p,10,201;ba7FD40C2p,10,201
Pda7FDCB7Bu;ba80445BEp,10,201;ba8018B33p,10,201;ba7FD4575p,10,201
Pda7FDCFADu;ba80442C1p,10,201;ba8018C7Bp,10,201;ba7FD49BBp,10,201
Pda7FDD3E0u;ba8043EE8p,10,201;ba8018D56p,10,201;ba7FD4E6Ep,10,201
Pda7FDD812u;ba8043C58p,10,201;ba8018F0Bp,10,201;ba7FD52B4p,10,201
Pda7FDDC45u;ba8043A35p,10,201;ba80190C1p,10,201;ba7FD568Cp,10,201
Pda7FDE077u;ba8043880p,10,201;ba8019276p,10,201;ba7FD59F7p,10,201
Pda7FDE4AAu;ba80436CAp,10,201;ba80193BEp,10,201;ba7FD5CF5p,10,201
Pda7FDE8DCu;ba8043515p,10,201;ba80195E1p,10,201;ba7FD60CDp,10,201
Pda7FDED0Fu;ba804335Fp,10,201;ba8019729p,10,201;ba7FD63CBp,10,201
Pda7FDF141u;ba80432F2p,10,201;ba80199BAp,10,201;ba7FD66C8p,10,201
Pda7FDF574u;ba80431AAp,10,201;ba8019B6Fp,10,201;ba7FD69C6p,10,201
Pda7FDF9A6u;ba80431AAp,10,201;ba8019DFFp,10,201;ba7FD6C56p,10,201
Pda7FDFDD9u;ba80431AAp,10,201;ba801A022p,10,201;ba7FD6E79p,10,201
Pda7FE020Bu;ba8043284p,10,201;ba801A320p,10,201;ba7FD709Cp,10,201
Pda7FE063Eu;ba8043284p,10,201;ba801A5B0p,10,201;ba7FD732Cp,10,201
Pda7FE0A70u;ba80432F2p,10,201;ba801A840p,10,201;ba7FD754Fp,10,201
Pda7FE0EA2u;ba80434A7p,10,201;ba801AB3Ep,10,201;ba7FD7697p,10,201
Pda7FE12D5u;ba80436CAp,10,201;ba801AE3Cp,10,201;ba7FD7772p,10,201
Pda7FE1707u;ba8043880p,10,201;ba801B139p,10,201;ba7FD78BAp,10,201
Pda7FE1B3Au;ba8043AA3p,10,201;ba801B4A4p,10,201;ba7FD7A02p,10,201
Pda7FE1F6Cu;ba8043C58p,10,201;ba801B734p,10,201;ba7FD7ADDp,10,201
Pda7FE239Fu;ba8043F56p,10,201;ba801BB0Dp,10,201;ba7FD7BB8p,10,201
Pda7FE27D1u;ba80442C1p,10,201;ba801BF53p,10,201;ba7FD7C92p,10,201
Pda7FE2C04u;ba804462Cp,10,201;ba801C250p,10,201;ba7FD7C25p,10,201
Pda7FE3036u;ba8044ADFp,10,201;ba801C629p,10,201;ba7FD7B4Ap,10,201
Pda7FE3469u;ba8044F25p,10,201;ba801CA6Ep,10,201;ba7FD7B4Ap,10,201
Pda7FE389Bu;ba8045520p,10,201;ba801CF21p,10,201;ba7FD7A02p,10,201
Pda7FE3CCEu;ba80459D3p,10,201;ba801D3D5p,10,201;ba7FD7A02p,10,201
Pda7FE4100u;ba8045FCEp,10,201;ba801D888p,10,201;ba7FD78BAp,10,201
Pda7FE4533u;ba80464EFp,10,201;ba801DCCDp,10,201;ba7FD77DFp,10,201
Pda7FE4965u;ba8046BC5p,10,201;ba801E1EEp,10,201;ba7FD762Ap,10,201
Pda7FE4D98u;ba80471C0p,10,201;ba801E70Ep,10,201;ba7FD754Fp,10,201
Pda7FE51CAu;ba8047896p,10,201;ba801EC9Cp,10,201;ba7FD7407p,10,201
Pda7FE55FDu;ba80480B4p,10,201;ba801F298p,10,201;ba7FD71E4p,10,201
Pda7FE5A2Fu;ba80487F7p,10,201;ba801F7B8p,10,201;ba7FD6FC1p,10,201
Pda7FE5E62u;ba8048FA8p,10,201;ba801FDB3p,10,201;ba7FD6E0Cp,10,201
Pda7FE6294u;ba8049759p,10,201;ba80203AFp,10,201;ba7FD6C56p,10,201
Pda7FE66C7u;ba804A0BFp,10,201;ba8020A17p,10,201;ba7FD6959p,10,201
Pda7FE6AF9u;ba804A870p,10,201;ba8021012p,10,201;ba7FD67A3p,10,201
Pda7FE6F2Cu;ba804B1D6p,10,201;ba802167Bp,10,201;ba7FD64A6p,10,201
Pda7FE735Eu;ba804BACFp,10,201;ba8021CE4p,10,201;ba7FD6215p,10,201
Pda7FE7791u;ba804C435p,10,201;ba802234Cp,10,201;ba7FD5F18p,10,201
Pda2136FC0n;ba804CD9Bp,10,201;ba8022A22p,10,201;ba7FD5C87p,10,201
Pda223D4F8n;ba804D84Ap,10,201;ba8023166p,10,201;ba7FD591Cp,10,201
Pda2343A28n;ba804E28Bp,10,201;ba802383Cp,10,201;ba7FD55B1p,10,201
Pda2449F60n;ba804EDA6p,10,201;ba8023FECp,10,201;ba7FD5246p,10,201
Pda2550488n;ba804F855p,10,201;ba80246C2p,10,201;ba7FD4E6Ep,10,201
Pda26569B8n;ba805044Bp,10,201;ba8024EE0p,10,201;ba7FD4A96p,10,201
Pda275CEF0n;ba8051042p,10,201;ba80256FFp,10,201;ba7FD46BDp,10,201
Pda2863418n;ba8051BCBp,10,201;ba8025E42p,10,201;ba7FD4278p,10,201
Pda2969950n;ba8052754p,10,201;ba8026660p,10,201;ba7FD3F0Dp,10,201
Pda2A6FE80n;ba8053425p,10,201;ba8026E7Ep,10,201;ba7FD3A59p,10,201
Pda2B763B0n;ba80540F6p,10,201;ba802769Cp,10,201;ba7FD35A6p,10,201
Pda2C7C8E0n;ba8054E35p,10,201;ba8027F28p,10,201;ba7FD30F3p,10,201
Pda2D82E10n;ba8055B06p,10,201;ba80287B3p,10,201;ba7FD2CADp,10,201
Pda2E89348n;ba805698Dp,10,201;ba80290ACp,10,201;ba7FD2720p,10,201
Pda2F8F878n;ba8057814p,10,201;ba80299A5p,10,201;ba7FD2192p,10,201
Pda3095DA8n;ba80587E3p,10,201;ba802A30Bp,10,201;ba7FD1B29p,10,201
Pda319C2D8n;ba8059744p,10,201;ba802ACDFp,10,201;ba7FD159Bp,10,201
Pda32A2808n;ba805A713p,10,201;ba802B6B2p,10,201;ba7FD0FA0p,10,201
Pda33A8D38n;ba805B74Fp,10,201;ba802C0F3p,10,201;ba7FD09A5p,10,201
Pda34AF268n;ba805C866p,10,201;ba802CBA2p,10,201;ba7FD033Cp,10,201
Pda35B57A0n;ba805D910p,10,201;ba802D5E3p,10,201;ba7FCFCD4p,10,201
Pda36BBCD0n;ba805EA94p,10,201;ba802E0FFp,10,201;ba7FCF66Bp,10,201
Pda37C21F8n;ba805FB3Ep,10,201;ba802EBADp,10,201;ba7FCF070p,10,201
Pda38C8730n;ba8060D9Dp,10,201;ba802F6C9p,10,201;ba7FCE92Cp,10,201
Pda39CEC60n;ba8061F21p,10,201;ba8030252p,10,201;ba7FCE331p,10,201
Pda3AD5190n;ba80631EEp,10,201;ba8030DDBp,10,201;ba7FCDBEEp,10,201
Pda3BDB6C0n;ba8064528p,10,201;ba80319D1p,10,201;ba7FCD4AAp,10,201
Pda3CE1BF0n;ba80658CFp,10,201;ba8032635p,10,201;ba7FCCD67p,10,201
Pda3DE8128n;ba8066B9Bp,10,201;ba80331BEp,10,201;ba7FCC624p,10,201
Pda3EEE650n;ba8067F42p,10,201;ba8033E22p,10,201;ba7FCBEE0p,10,201
Pda3FF4B88n;ba8069357p,10,201;ba8034AF3p,10,201;ba7FCB79Dp,10,201
Pda40FB0B8n;ba806A7D9p,10,201;ba80357C5p,10,201;ba7FCAFECp,10,201
Pda42015E4n;ba806BD36p,10,201;ba8036503p,10,201;ba7FCA7CEp,10,201
Pda4307B1Cn;ba806D1B8p,10,201;ba80371D4p,10,201;ba7FCA01Dp,10,201
Pda440E048n;ba806E714p,10,201;ba8037F13p,10,201;ba7FC97FFp,10,201
Pda451457Cn;ba806FCDFp,10,201;ba8038CBFp,10,201;ba7FC8FE1p,10,201
Pda461AAACn;ba8071383p,10,201;ba8039A6Bp,10,201;ba7FC86E8p,10,201
Pda4720FDCn;ba80729BBp,10,201;ba803A884p,10,201;ba7FC7ECAp,10,201
Pda4827510n;ba807413Bp,10,201;ba803B70Bp,10,201;ba7FC75D1p,10,201
Pda492DA40n;ba807584Dp,10,201;ba803C592p,10,201;ba7FC6D46p,10,201
Pda4A33F70n;ba8076F5Fp,10,201;ba803D419p,10,201;ba7FC64BAp,10,201
Pda4B3A4A0n;ba8078827p,10,201;ba803E37Ap,10,201;ba7FC5B54p,10,201
Pda4C409D4n;ba8079FA6p,10,201;ba803F201p,10,201;ba7FC525Bp,10,201
Pda4D46F04n;ba807B8DBp,10,201;ba80401D0p,10,201;ba7FC48F5p,10,201
Pda4E4D438n;ba807D2EBp,10,201;ba804120Cp,10,201;ba7FC3F21p,10,201
Pda4F53964n;ba807EC8Ep,10,201;ba804216Dp,10,201;ba7FC34E0p,10,201
Pda5059E98n;ba8080778p,10,201;ba8043217p,10,201;ba7FC2A9Fp,10,201
Pda51603C8n;ba80822D0p,10,201;ba804432Ep,10,201;ba7FC205Ep,10,201
Pda52668F8n;ba8083F03p,10,201;ba8045445p,10,201;ba7FC1543p,10,201
Pda536CE2Cn;ba8085B36p,10,201;ba80465C9p,10,201;ba7FC0A94p,10,201
Pda5473358n;ba8087843p,10,201;ba8047828p,10,201;ba7FBFFE6p,10,201
Pda557988Cn;ba80894E3p,10,201;ba80489ADp,10,201;ba7FBF4CAp,10,201
Pda567FDBCn;ba808B339p,10,201;ba8049CE7p,10,201;ba7FBE9AEp,10,201
Pda57862F0n;ba808D121p,10,201;ba804AFB3p,10,201;ba7FBDE93p,10,201
Pda588C820n;ba808EFE4p,10,201;ba804C35Ap,10,201;ba7FBD377p,10,201
Pda5992D54n;ba8090F14p,10,201;ba804D76Fp,10,201;ba7FBC85Bp,10,201
Pda5A99280n;ba8092F8Dp,10,201;ba804EBF1p,10,201;ba7FBBC65p,10,201
Pda5B9F7B0n;ba8094F98p,10,201;ba8050006p,10,201;ba7FBB06Ep,10,201
Pda5CA5CE4n;ba809707Ep,10,201;ba8051562p,10,201;ba7FBA4E5p,10,201
Pda5DAC214n;ba809923Ep,10,201;ba8052A52p,10,201;ba7FB9814p,10,201
Pda5EB2748n;ba809B46Cp,10,201;ba8054089p,10,201;ba7FB8C1Dp,10,201
Pda5FB8C74n;ba809D69Ap,10,201;ba8055653p,10,201;ba7FB7FB9p,10,201
Pda60BF1A6n;ba809FA7Ep,10,201;ba8056D65p,10,201;ba7FB72E8p,10,201
Pda61C56D8n;ba80A1E61p,10,201;ba8058478p,10,201;ba7FB6617p,10,201
Pda62CBC0An;ba80A431Fp,10,201;ba8059C65p,10,201;ba7FB5946p,10,201
Pda63D213An;ba80A68B8p,10,201;ba805B4BFp,10,201;ba7FB4C07p,10,201
Pda64D866Cn;ba80A8DE4p,10,201;ba805CCACp,10,201;ba7FB3EC9p,10,201
Pda65DEB9En;ba80AB532p,10,201;ba805E64Ep,10,201;ba7FB311Dp,10,201
Pda66E50CEn;ba80ADC81p,10,201;ba805FFF1p,10,201;ba7FB2371p,10,201
Pda67EB600n;ba80B0517p,10,201;ba8061A01p,10,201;ba7FB14EAp,10,201
Pda68F1B30n;ba80B2E89p,10,201;ba80634EBp,10,201;ba7FB0663p,10,201
Pda69F8062n;ba80B58D5p,10,201;ba80650B1p,10,201;ba7FAF7DCp,10,201
Pda6AFE592n;ba80B83FCp,10,201;ba8066CE3p,10,201;ba7FAE8E8p,10,201
Pda6C04AC2n;ba80BAFFDp,10,201;ba80689F1p,10,201;ba7FAD9F4p,10,201
Pda6D0AFF4n;ba80BDCDAp,10,201;ba806A7D9p,10,201;ba7FACB00p,10,201
Pda6E11526n;ba80C0AFEp,10,201;ba806C62Fp,10,201;ba7FABB31p,10,201
Pda6F17A56n;ba80C3922p,10,201;ba806E417p,10,201;ba7FAAAF5p,10,201
Pda701DF88n;ba80C6AB2p,10,201;ba807048Fp,10,201;ba7FA99DEp,10,201
Pda71244B9n;ba80C9D1Cp,10,201;ba8072575p,10,201;ba7FA885Ap,10,201
Pda722A9EAn;ba80CD0CEp,10,201;ba80747A3p,10,201;ba7FA76D5p,10,201
Pda7330F1An;ba80D05C9p,10,201;ba8076AACp,10,201;ba7FA64E4p,10,201
Pda743744Cn;ba80D3C0Bp,10,201;ba8078EFDp,10,201;ba7FA52F2p,10,201
Pda753D97Dn;ba80D7403p,10,201;ba807B428p,10,201;ba7FA4025p,10,201
Pda7643EAEn;ba80DACD6p,10,201;ba807DA9Cp,10,201;ba7FA2DC6p,10,201
Pda774A3DFn;ba80DE839p,10,201;ba80802C5p,10,201;ba7FA1A8Cp,10,201
Pda7850911n;ba80E2477p,10,201;ba8082B5Cp,10,201;ba7FA06E5p,10,201
Pda7956E41n;ba80E6190p,10,201;ba808553Ap,10,201;ba7F9F3ABp,10,201
Pda7A5D372n;ba80EA0CBp,10,201;ba8088061p,10,201;ba7F9DF97p,10,201
Pda7B638A4n;ba80EE297p,10,201;ba808AD3Ep,10,201;ba7F9CAA7p,10,201
Pda7C69DD5n;ba80F253Dp,10,201;ba808DAF5p,10,201;ba7F9B5B8p,10,201
Pda7D70306n;ba80F6A06p,10,201;ba8090A61p,10,201;ba7F9A05Bp,10,201
Pda7E76837n;ba80FB160p,10,201;ba8093BF1p,10,201;ba7F98A91p,10,201
Pda7F7CD68n;ba80FFA02p,10,201;ba8096E5Bp,10,201;ba7F9745Ap,10,201
*
M0002
Pda7F85E36u;ba80324EDp,12,201;ba7E3CF6Cp,12,201;ba7E0AA7Ep,12,201
Pda7F86268u;ba8132C2Ep,12,202;ba7D761BCp,12,202;ba7C4358Dp,12,202
Pda7F8669Bu;ba8431061p,12,203;ba7DBECB1p,10,203;ba798DC50p,12,203
Pda7F86ACDu;ba84BF4BCp,10,204;ba7EF41E3p,10,204;ba7A34D27p,10,204
Pda7F86F00u;ba8460A95p,10,204;ba7F528A0p,10,204;ba7AF1E0Ap,10,204
Pda7F87332u;ba84183E5p,10,204;ba7F96788p,10,204;ba7B7E3A2p,10,204
Pda7F87764u;ba83D8283p,10,204;ba7FB0BF1p,10,204;ba7BD896Ep,10,204
Pda7F87B97u;ba839C8E7p,10,204;ba7FC2E78p,10,204;ba7C26590p,10,204
Pda7F87FC9u;ba836BD9Bp,10,204;ba7FCFEF6p,10,204;ba7C6415Ap,10,204
Pda7F883FCu;ba833D113p,14,204;ba7FD3911p,14,204;ba7C967FDp,10,204
Pda7F8882Eu;ba8310A24p,14,204;ba7FD5469p,14,204;ba7CC4A45p,10,204
Pda7F88C61u;ba82E9C13p,10,204;ba7FD100Dp,10,204;ba7CE73FAp,10,204
Pda7F89093u;ba82BC778p,10,204;ba7FC9F42p,10,204;ba7D0D7CAp,10,204
Pda7F894C6u;ba829B5AFp,10,204;ba7FC9501p,10,204;ba7D2DF52p,10,204
Pda7F898F8u;ba8284ECDp,10,204;ba7FD0261p,10,204;ba7D4B394p,10,204
Pda7F89D2Bu;ba8268BA1p,10,204;ba7FCE39Ep,10,204;ba7D657FDp,10,204
Pda7F8A15Du;ba824FBBBp,14,204;ba7FD248Fp,14,204;ba7D828D4p,10,204
Pda7F8A590u;ba823E00Ap,14,204;ba7FD46BDp,14,204;ba7D966B3p,10,204
Pda7F8A9C2u;ba823507Cp,14,204;ba7FDEACDp,14,204;ba7DA9A50p,10,204
Pda7F8ADF5u;ba82BB4ABp,14,203;baC903EF0f,14,203;ba7D57667p,10,203
Pda7F8B227u;ba82AEE6Ep,10,203;ba8018E31p,10,203;ba7D69FC4p,10,203
Pda7F8B65Au;ba82ACDF5p,10,203;ba801F305p,10,203;ba7D72510p,10,203
Pda7F8BA8Cu;ba82A9745p,10,203;ba8025B44p,10,203;ba7D7C400p,10,203
Pda7F8BEBFu;ba82ADD56p,10,203;ba802BCAEp,10,203;ba7D7DF58p,10,203
Pda7F8C2F1u;ba82AB0E8p,10,203;ba802EE3Dp,10,203;ba7D83D56p,10,203
Pda7F8C724u;ba82AAF32p,10,203;ba8034A86p,10,203;ba7D89B55p,10,203
Pda7F8CB56u;ba82A4DC9p,10,203;ba8038656p,10,203;ba7D9388Ep,10,203
Pda7F8CF89u;ba8298940p,10,203;ba803F721p,10,203;ba7DA6DE1p,10,203
Pda7F8D3BBu;ba8280DDCp,10,203;ba8046B57p,10,203;ba7DC5D7Cp,10,203
Pda7F8D7EEu;ba82745E9p,10,203;ba8053500p,10,203;ba7DDEF18p,10,203
Pda7F8DC20u;ba82632C3p,10,203;ba806414Fp,10,203;ba7E00E8Cp,10,203
Pda7F8E052u;ba824EE0Fp,10,203;ba8077BC3p,10,203;ba7E28DB5p,10,203
Pda7F8E485u;ba82576C7p,10,203;ba80798D0p,10,203;ba7E2220Ap,10,203
Pda7F8E8B7u;ba8235232p,10,203;ba8071018p,10,203;ba7E3BDE7p,10,203
Pda7F8ECEAu;ba8230A6Bp,10,203;ba8063A79p,10,203;ba7E3300Fp,10,203
Pda7F8F11Cu;ba822C0EEp,10,203;ba804E2F8p,10,203;ba7E2220Ap,10,203
Pda7F8F54Fu;ba8249DBCp,10,203;ba8062E83p,10,203;ba7E190C7p,10,203
Pda7F8F981u;ba826E635p,10,203;ba807A832p,10,203;ba7E0C1FEp,10,203
Pda7F8FDB4u;ba827F284p,10,203;ba808813Cp,10,203;ba7E08EB9p,10,203
Pda7F901E6u;ba827740Dp,10,203;ba807F884p,10,203;ba7E08478p,10,203
Pda7F90619u;ba825B96Dp,10,203;ba806B3D0p,10,203;ba7E0FA63p,10,203
Pda7F90A4Bu;ba8250CD2p,10,203;ba8066A53p,10,203;ba7E15D82p,10,203
Pda7F90E7Eu;ba82449FFp,10,203;ba8063038p,10,203;ba7E1E63Ap,10,203
Pda7F912B0u;ba823EA4Bp,10,203;ba8064670p,10,203;ba7E25C25p,10,203
Pda7F916E3u;ba823AE7Bp,10,203;ba806ACFAp,10,203;ba7E2FE80p,10,203
Pda7F91B15u;ba823FD17p,10,203;ba8075EB5p,10,203;ba7E3619Ep,10,203
Pda7F91F48u;ba823C2FDp,10,203;ba8079565p,10,203;ba7E3D269p,10,203
Pda7F9237Au;ba823DE55p,10,203;ba8081747p,10,203;ba7E438F3p,10,203
Pda7F927ADu;ba823D934p,10,203;ba80854CDp,10,203;ba7E47B9Ap,10,203
Pda7F92BDFu;ba823A95Ap,10,203;ba808A88Bp,10,203;ba7E4FF31p,10,203
Pda7F93012u;ba823EA4Bp,10,203;ba808F727p,10,203;ba7E50CDDp,10,203
Pda7F93444u;ba823B030p,10,203;ba8091E76p,10,203;ba7E56E46p,10,203
Pda7F93877u;ba823BA71p,10,203;ba8094259p,10,203;ba7E587E9p,10,203
Pda7F93CA9u;ba8236D8Ap,10,203;ba80940A4p,10,203;ba7E5D31Bp,10,203
Pda7F940DCu;ba8236BD4p,10,203;ba80973E9p,10,203;ba7E60815p,10,203
Pda7F9450Eu;ba822FB09p,10,203;ba8095005p,10,203;ba7E654FDp,10,203
Pda7F94941u;ba82297EAp,10,203;ba809477Ap,10,203;ba7E6AF90p,10,203
Pda7F94D73u;ba821CE42p,10,203;ba809202Bp,10,203;ba7E751EAp,10,203
Pda7F951A5u;ba820CA7Ep,10,203;ba808B9A1p,10,203;ba7E7EF24p,10,203
Pda7F955D8u;ba81F9896p,10,203;ba8087DD1p,10,203;ba7E8E53Cp,10,203
Pda7F95A0Au;ba81E3F5Fp,10,203;ba808285Ep,10,203;ba7E9E8FFp,10,203
Pda7F95E3Du;ba81CCC86p,10,203;ba807FBEFp,10,203;ba7EB2F6Ap,10,203
Pda7F9626Fu;ba81B6239p,10,203;ba8083CE0p,10,203;ba7ECDAA8p,10,203
Pda7F966A2u;ba81BEE5Bp,10,203;ba808B7ECp,10,203;ba7ECC991p,10,203
Pda7F96AD4u;ba81FD2B1p,10,203;ba8091CC0p,10,203;ba7E94A10p,10,203
Pda7F96F07u;ba81F468Ep,10,203;ba80B5CADp,10,203;ba7EC1620p,10,203
Pda7F97339u;ba81D9B4Fp,10,203;ba80B6DC4p,10,203;ba7EDD275p,10,203
Pda7F9776Cu;ba81DEF0Dp,10,203;ba80A275Ap,10,203;ba7EC384Ep,10,203
Pda7F97B9Eu;ba81F8E55p,10,203;ba80B14E6p,10,203;ba7EB8692p,10,203
Pda7F97FD1u;ba8211245p,10,203;ba80BB8F6p,10,203;ba7EAA6B2p,10,203
Pda7F98403u;ba8206FEBp,10,203;ba80AC649p,10,203;ba7EA565Fp,10,203
Pda7F98836u;ba81EDAE3p,10,203;ba808FFB3p,10,203;ba7EA24D0p,10,203
Pda7F98C68u;ba81E2E48p,10,203;ba8086B05p,10,203;ba7EA3CBDp,10,203
Pda7F9909Bu;ba81E0C1Ap,10,203;ba8084721p,10,203;ba7EA3B07p,10,203
Pda7F994CDu;ba81E7459p,10,203;ba808DA1Ap,10,203;ba7EA65C1p,10,203
Pda7F99900u;ba81F007Cp,10,203;ba8098500p,10,203;ba7EA8484p,10,203
Pda7F99D32u;ba81FA7F7p,10,203;ba80A36BCp,10,203;ba7EA8EC5p,10,203
Pda7F9A165u;ba81FD987p,10,203;ba80A9D45p,10,203;ba7EAC3BFp,10,203
Pda7F9A597u;ba820170Dp,10,203;ba80B0C5Bp,10,203;ba7EAF54Fp,10,203
Pda7F9A9CAu;ba8204F72p,10,203;ba80B83FCp,10,203;ba7EB348Ap,10,203
Pda7F9ADFCu;ba82076C1p,10,203;ba80BD0E3p,10,203;ba7EB5A23p,10,203
Pda7F9B22Fu;ba8206915p,10,203;ba80BF67Cp,10,203;ba7EB8D68p,10,203
Pda7F9B661u;ba8209583p,10,203;ba80C3AD8p,10,203;ba7EBA555p,10,203
Pda7F9BA93u;ba82087D7p,10,203;ba80C4BEFp,10,203;ba7EBC418p,10,203
Pda7F9BEC6u;ba8209E0Fp,10,203;ba80C6747p,10,203;ba7EBC938p,10,203
Pda7F9C2F8u;ba8208EAEp,10,203;ba80C6591p,10,203;ba7EBD6E4p,10,203
Pda7F9C72Bu;ba82057FEp,10,203;ba80C63DCp,10,203;ba7EC0BDFp,10,203
Pda7F9CB5Du;ba8202B8Fp,10,203;ba80C4F5Ap,10,203;ba7EC23CCp,10,203
Pda7F9CF90u;ba81F8E55p,10,203;ba80C1A5Fp,10,203;ba7EC8C0Bp,10,203
Pda7F9D3C2u;ba81EC4ACp,10,203;ba80BCF2Ep,10,203;ba7ED0A82p,10,203
Pda7F9D7F5u;ba81DF94Ep,10,203;ba80B83FCp,10,203;ba7ED8AAEp,10,203
Pda7F9DC27u;ba81C9421p,10,203;ba80AEA2Dp,10,203;ba7EE560Dp,10,203
Pda7F9E05Au;ba81AC6B4p,10,203;ba80A19AEp,10,203;ba7EF52FAp,10,203
