e
M0002
Pda7F85E36u;ba843B7DCp,14,208;ba7F885F3p,14,208;ba7B4CE17p,10,208
Pda7FCF13Au;ba8041807p,10,201;baD0F1580f,10,201;ba7FD3383p,10,201
Pda7FCF56Cu;ba80416BFp,10,201;baD051208f,10,201;ba7FD323Bp,10,201
Pda7FCF99Fu;ba8041652p,10,201;baCF96350f,10,201;ba7FD2FABp,10,201
Pda7FCFDD1u;ba8041577p,10,201;baCF10B20f,10,201;ba7FD2E63p,10,201
Pda7FD0204u;ba8041354p,10,201;baCE55C68f,10,201;ba7FD2D88p,10,201
Pda7FD0636u;ba8041131p,10,201;baCDD0428f,10,201;ba7FD2D88p,10,201
Pda7FD0A69u;ba8041056p,10,201;baCD4ABF0f,10,201;ba7FD2C40p,10,201
Pda7FD0E9Bu;ba8040CEBp,10,201;baCC8FD38f,10,201;ba7FD2CADp,10,201
Pda7FD12CEu;ba8040AC9p,10,201;baCBEF9C8f,10,201;ba7FD2C40p,10,201
Pda7FD1700u;ba804075Ep,10,201;baCB4F650f,10,201;ba7FD2D1Bp,10,201
Pda7FD1B33u;ba804053Bp,10,201;baCAC9E18f,10,201;ba7FD2D1Bp,10,201
Pda7FD1F65u;ba80401D0p,10,201;baCA0EF60f,10,201;ba7FD2D88p,10,201
Pda7FD2398u;ba803FF3Fp,10,201;baC989728f,10,201;ba7FD2DF6p,10,201
Pda7FD27CAu;ba803FBD4p,10,201;baC903EF0f,10,201;ba7FD2F3Ep,10,201
Pda7FD2BFDu;ba803F944p,10,201;baC8991F8f,10,201;ba7FD3018p,10,201
Pda7FD302Fu;ba803F56Cp,10,201;baC8139C0f,10,201;ba7FD31CEp,10,201
Pda7FD3461u;ba803F201p,10,201;baC78E188f,10,201;ba7FD3316p,10,201
Pda7FD3894u;ba803ECE0p,10,201;baC723488f,10,201;ba7FD3681p,10,201
Pda7FD3CC6u;ba803E9E3p,10,201;baC6B8790f,10,201;ba7FD37C9p,10,201
Pda7FD40F9u;ba803E59Dp,10,201;baC64DA98f,10,201;ba7FD3A59p,10,201
Pda7FD452Bu;ba803E0EAp,10,201;baC5FD8D8f,10,201;ba7FD3DC4p,10,201
Pda7FD495Eu;ba803DCA4p,10,201;baC592BE0f,10,201;ba7FD4055p,10,201
Pda7FD4D90u;ba803D716p,10,201;baC527EE0f,10,201;ba7FD442Dp,10,201
Pda7FD51C3u;ba803D3ABp,10,201;baC4D7D28f,10,201;ba7FD4650p,10,201
Pda7FD55F5u;ba803CE1Dp,10,201;baC487B70f,10,201;ba7FD4A96p,10,201
Pda7FD5A28u;ba803CA45p,10,201;baC4524F8f,10,201;ba7FD4D93p,10,201
Pda7FD5E5Au;ba803C44Ap,10,201;baC402338f,10,201;ba7FD5246p,10,201
Pda7FD628Du;ba803BF29p,10,201;baC3B2178f,10,201;ba7FD561Fp,10,201
Pda7FD66BFu;ba803BA09p,10,201;baC37CB00f,10,201;ba7FD5A65p,10,201
Pda7FD6AF2u;ba803B4E8p,10,201;baC347480f,10,201;ba7FD5EAAp,10,201
Pda7FD6F24u;ba803AF5Ap,10,201;baC2F72C0f,10,201;ba7FD62F0p,10,201
Pda7FD7357u;ba803AA3Ap,10,201;baC2C1C48f,10,201;ba7FD6736p,10,201
Pda7FD7789u;ba803A662p,10,201;baC2A7108f,10,201;ba7FD6AA1p,10,201
Pda7FD7BBCu;ba803A141p,10,201;baC28C5C8f,10,201;ba7FD6F54p,10,201
Pda7FD7FEEu;ba8039BB3p,10,201;baC256F50f,10,201;ba7FD7407p,10,201
Pda7FD8421u;ba8039693p,10,201;baC23C410f,10,201;ba7FD78BAp,10,201
Pda7FD8853u;ba80391E0p,10,201;baC2218D8f,10,201;ba7FD7D00p,10,201
Pda7FD8C86u;ba8038D9Ap,10,201;baC23C410f,10,201;ba7FD81B3p,10,201
Pda7FD90B8u;ba8038879p,10,201;baC206D98f,10,201;ba7FD85F9p,10,201
Pda7FD94EBu;ba80383C6p,10,201;baC206D98f,10,201;ba7FD8AACp,10,201
Pda7FD991Du;ba8037F13p,10,201;baC206D98f,10,201;ba7FD8F5Fp,10,201
Pda7FD9D50u;ba8037A60p,10,201;baC206D98f,10,201;ba7FD9412p,10,201
Pda7FDA182u;ba803761Ap,10,201;baC1EC250f,10,201;ba7FD97EAp,10,201
Pda7FDA5B4u;ba80372AFp,10,201;baC1EC250f,10,201;ba7FD9B55p,10,201
Pda7FDA9E7u;ba803701Fp,10,201;baC2218D8f,10,201;ba7FD9EC0p,10,201
Pda7FDAE19u;ba8036C47p,10,201;baC23C410f,10,201;ba7FDA306p,10,201
Pda7FDB24Cu;ba80369B6p,10,201;baC271A90f,10,201;ba7FDA671p,10,201
Pda7FDB67Eu;ba803664Bp,10,201;baC28C5C8f,10,201;ba7FDAA4Ap,10,201
Pda7FDBAB1u;ba80363BBp,10,201;baC2C1C48f,10,201;ba7FDADB5p,10,201
Pda7FDBEE3u;ba803612Bp,10,201;baC2F72C0f,10,201;ba7FDB120p,10,201
Pda7FDC316u;ba8035F08p,10,201;baC347480f,10,201;ba7FDB48Bp,10,201
Pda7FDC748u;ba8035CE5p,10,201;baC397640f,10,201;ba7FDB7F6p,10,201
Pda7FDCB7Bu;ba8035AC2p,10,201;baC3CCCB8f,10,201;ba7FDBAF3p,10,201
Pda7FDCFADu;ba8035832p,10,201;baC402338f,10,201;ba7FDBE5Ep,10,201
Pda7FDD3E0u;ba80357C5p,10,201;baC487B70f,10,201;ba7FDC0EEp,10,201
Pda7FDD812u;ba80355A2p,10,201;baC4BD1F0f,10,201;ba7FDC3ECp,10,201
Pda7FDDC45u;ba8035534p,10,201;baC542A28f,10,201;ba7FDC67Cp,10,201
Pda7FDE077u;ba803537Fp,10,201;baC592BE0f,10,201;ba7FDC97Ap,10,201
Pda7FDE4AAu;ba803537Fp,10,201;baC618418f,10,201;ba7FDCB9Dp,10,201
Pda7FDE8DCu;ba80352A4p,10,201;baC6685D8f,10,201;ba7FDCDC0p,10,201
Pda7FDED0Fu;ba80351C9p,10,201;baC6D32D0f,10,201;ba7FDD050p,10,201
Pda7FDF141u;ba80351C9p,10,201;baC723488f,10,201;ba7FDD198p,10,201
Pda7FDF574u;ba80351C9p,10,201;baC7A8CC8f,10,201;ba7FDD3BBp,10,201
Pda7FDF9A6u;ba8035237p,10,201;baC82E4F8f,10,201;ba7FDD570p,10,201
Pda7FDFDD9u;ba8035237p,10,201;baC8991F8f,10,201;ba7FDD726p,10,201
Pda7FE020Bu;ba80353ECp,10,201;baC91EA30f,10,201;ba7FDD793p,10,201
Pda7FE063Eu;ba80353ECp,10,201;baC9A4268f,10,201;ba7FDD9B6p,10,201
Pda7FE0A70u;ba80355A2p,10,201;baCA445E0f,10,201;ba7FDDA91p,10,201
Pda7FE0EA2u;ba803567Dp,10,201;baCAC9E18f,10,201;ba7FDDBD9p,10,201
Pda7FE12D5u;ba803589Fp,10,201;baCB6A190f,10,201;ba7FDDC46p,10,201
Pda7FE1707u;ba8035A55p,10,201;baCC0A508f,10,201;ba7FDDD21p,10,201
Pda7FE1B3Au;ba8035B9Dp,10,201;baCC8FD38f,10,201;ba7FDDDFCp,10,201
Pda7FE1F6Cu;ba8035DC0p,10,201;baCD300B8f,10,201;ba7FDDE69p,10,201
Pda7FE239Fu;ba8036050p,10,201;baCDEAF68f,10,201;ba7FDDED7p,10,201
Pda7FE27D1u;ba803634Ep,10,201;baCE8B2E0f,10,201;ba7FDDE69p,10,201
Pda7FE2C04u;ba803664Bp,10,201;baCF2B658f,10,201;ba7FDDDFCp,10,201
Pda7FE3036u;ba8036A24p,10,201;baCFE6508f,10,201;ba7FDDD21p,10,201
Pda7FE3469u;ba8036D8Fp,10,201;baD0A13C0f,10,201;ba7FDDCB4p,10,201
Pda7FE389Bu;ba80371D4p,10,201;baD176DB8f,10,201;ba7FDDBD9p,10,201
Pda7FE3CCEu;ba80375ADp,10,201;baD24C7B0f,10,201;ba7FDDB6Cp,10,201
Pda7FE4100u;ba80379F3p,10,201;baD3221A0f,10,201;ba7FDDA91p,10,201
Pda7FE4533u;ba8037EA6p,10,201;baD3F7B90f,10,201;ba7FDD949p,10,201
Pda7FE4965u;ba8038359p,10,201;baD4CD588f,10,201;ba7FDD801p,10,201
Pda7FE4D98u;ba803880Cp,10,201;baD5BDAC0f,10,201;ba7FDD726p,10,201
Pda7FE51CAu;ba8038E07p,10,201;baD6ADFF0f,10,201;ba7FDD503p,10,201
Pda7FE55FDu;ba8039328p,10,201;baD7B9058f,10,201;ba7FDD428p,10,201
Pda7FE5A2Fu;ba80398B6p,10,201;baD88EA50f,10,201;ba7FDD205p,10,201
Pda7FE5E62u;ba8039DD6p,10,201;baD97EF88f,10,201;ba7FDD0BDp,10,201
Pda7FE6294u;ba803A4ACp,10,201;baDAA4B30f,10,201;ba7FDCE9Ap,10,201
Pda7FE66C7u;ba803AA3Ap,10,201;baDB95068f,10,201;ba7FDCCE5p,10,201
Pda7FE6AF9u;ba803B17Dp,10,201;baDCBAC18f,10,201;ba7FDCA55p,10,201
Pda7FE6F2Cu;ba803B7E6p,10,201;baDDAB148f,10,201;ba7FDC7C4p,10,201
Pda7FE735Eu;ba803BD74p,10,201;baDED0CF8f,10,201;ba7FDC6EAp,10,201
Pda7FE7791u;ba803C525p,10,201;ba8018910p,10,201;ba7FDC3ECp,10,201
Pda2136FC0n;ba803CBFBp,10,201;ba8018D56p,10,201;ba7FDC15Cp,10,201
Pda223D4F8n;ba803D33Ep,10,201;ba8019209p,10,201;ba7FDBECCp,10,201
Pda2343A28n;ba803DA81p,10,201;ba80196BCp,10,201;ba7FDBC3Bp,10,201
Pda2449F60n;ba803E232p,10,201;ba8019B6Fp,10,201;ba7FDB93Ep,10,201
Pda2550488n;ba803EA50p,10,201;ba801A090p,10,201;ba7FDB640p,10,201
Pda26569B8n;ba803F26Ep,10,201;ba801A5B0p,10,201;ba7FDB342p,10,201
Pda275CEF0n;ba803FAFAp,10,201;ba801AAD1p,10,201;ba7FDAFD7p,10,201
Pda2863418n;ba80402AAp,10,201;ba801AFF1p,10,201;ba7FDAD47p,10,201
Pda2969950n;ba8040BA3p,10,201;ba801B57Fp,10,201;ba7FDA9DCp,10,201
Pda2A6FE80n;ba804149Cp,10,201;ba801BB7Ap,10,201;ba7FDA6DFp,10,201
Pda2B763B0n;ba8041E02p,10,201;ba801C09Bp,10,201;ba7FDA299p,10,201
Pda2C7C8E0n;ba8042769p,10,201;ba801C629p,10,201;ba7FD9EC0p,10,201
Pda2D82E10n;ba8043062p,10,201;ba801CC24p,10,201;ba7FD9BC3p,10,201
Pda2E89348n;ba8043AA3p,10,201;ba801D1B2p,10,201;ba7FD9710p,10,201
Pda2F8F878n;ba8044476p,10,201;ba801D7ADp,10,201;ba7FD9337p,10,201
Pda3095DA8n;ba8044EB7p,10,201;ba801DDA8p,10,201;ba7FD8EF2p,10,201
Pda319C2D8n;ba8045A40p,10,201;ba801E47Ep,10,201;ba7FD8A3Ep,10,201
Pda32A2808n;ba804655Cp,10,201;ba801EB54p,10,201;ba7FD85F9p,10,201
Pda33A8D38n;ba80470E5p,10,201;ba801F22Ap,10,201;ba7FD8146p,10,201
Pda34AF268n;ba8047C01p,10,201;ba801F900p,10,201;ba7FD7D00p,10,201
Pda35B57A0n;ba804878Ap,10,201;ba801FFD6p,10,201;ba7FD784Dp,10,201
Pda36BBCD0n;ba8049380p,10,201;ba802071Ap,10,201;ba7FD739Ap,10,201
Pda37C21F8n;ba8049F0Ap,10,201;ba8020E5Dp,10,201;ba7FD6F54p,10,201
Pda38C8730n;ba804AC48p,10,201;ba802160Ep,10,201;ba7FD69C6p,10,201
Pda39CEC60n;ba804B8ACp,10,201;ba8021DBEp,10,201;ba7FD6513p,10,201
Pda3AD5190n;ba804C510p,10,201;ba8022502p,10,201;ba7FD5FF2p,10,201
Pda3BDB6C0n;ba804D2BCp,10,201;ba8022D8Dp,10,201;ba7FD5AD2p,10,201
Pda3CE1BF0n;ba804DF8Dp,10,201;ba80234D1p,10,201;ba7FD5544p,10,201
Pda3DE8128n;ba804EC5Ep,10,201;ba8023CEFp,10,201;ba7FD5091p,10,201
Pda3EEE650n;ba804F99Dp,10,201;ba802457Ap,10,201;ba7FD4BDEp,10,201
Pda3FF4B88n;ba8050824p,10,201;ba8024D98p,10,201;ba7FD4575p,10,201
Pda40FB0B8n;ba80515D0p,10,201;ba80255B6p,10,201;ba7FD3FE7p,10,201
Pda42015E4n;ba80524C4p,10,201;ba8025EAFp,10,201;ba7FD39ECp,10,201
Pda4307B1Cn;ba80532DDp,10,201;ba802673Bp,10,201;ba7FD345Ep,10,201
Pda440E048n;ba80541D1p,10,201;ba8027034p,10,201;ba7FD2E63p,10,201
Pda451457Cn;ba8054FEBp,10,201;ba802792Dp,10,201;ba7FD2942p,10,201
Pda461AAACn;ba8055EDFp,10,201;ba80281B8p,10,201;ba7FD22DAp,10,201
Pda4720FDCn;ba8056E40p,10,201;ba8028B1Ep,10,201;ba7FD1CDFp,10,201
Pda4827510n;ba8057E7Cp,10,201;ba8029484p,10,201;ba7FD1609p,10,201
Pda492DA40n;ba8058E4Bp,10,201;ba8029DEBp,10,201;ba7FD0FA0p,10,201
Pda4A33F70n;ba8059CD2p,10,201;ba802A6E4p,10,201;ba7FD0A12p,10,201
Pda4B3A4A0n;ba805AD7Cp,10,201;ba802B0B7p,10,201;ba7FD033Cp,10,201
Pda4C409D4n;ba805BDB8p,10,201;ba802BA8Bp,10,201;ba7FCFCD4p,10,201
Pda4D46F04n;ba805CE61p,10,201;ba802C45Ep,10,201;ba7FCF5FEp,10,201
Pda4E4D438n;ba805DF0Bp,10,201;ba802CE32p,10,201;ba7FCEF28p,10,201
Pda4F53964n;ba805F08Fp,10,201;ba802D873p,10,201;ba7FCE7E4p,10,201
Pda5059E98n;ba8060214p,10,201;ba802E2B4p,10,201;ba7FCE0A1p,10,201
Pda51603C8n;ba8061398p,10,201;ba802ED62p,10,201;ba7FCD9CBp,10,201
Pda52668F8n;ba8062665p,10,201;ba802F811p,10,201;ba7FCD1ADp,10,201
Pda536CE2Cn;ba80638C4p,10,201;ba803032Cp,10,201;ba7FCCA69p,10,201
Pda5473358n;ba8064B90p,10,201;ba8030E48p,10,201;ba7FCC2B9p,10,201
Pda557988Cn;ba8065DEFp,10,201;ba8031964p,10,201;ba7FCBB75p,10,201
Pda567FDBCn;ba80670BCp,10,201;ba8032480p,10,201;ba7FCB3C4p,10,201
Pda57862F0n;ba80683F6p,10,201;ba8033009p,10,201;ba7FCAC14p,10,201
Pda588C820n;ba806979Dp,10,201;ba8033BFFp,10,201;ba7FCA463p,10,201
Pda5992D54n;ba806AB44p,10,201;ba80347F6p,10,201;ba7FC9CB2p,10,201
Pda5A99280n;ba806BF59p,10,201;ba80353ECp,10,201;ba7FC9494p,10,201
Pda5B9F7B0n;ba806D3DBp,10,201;ba80360BEp,10,201;ba7FC8CE3p,10,201
Pda5CA5CE4n;ba806E7EFp,10,201;ba8036D21p,10,201;ba7FC8533p,10,201
Pda5DAC214n;ba806FCDFp,10,201;ba8037985p,10,201;ba7FC7CA7p,10,201
Pda5EB2748n;ba80710F3p,10,201;ba80385E9p,10,201;ba7FC74F6p,10,201
Pda5FB8C74n;ba8072650p,10,201;ba8039328p,10,201;ba7FC6CD8p,10,201
Pda60BF1A6n;ba8073BADp,10,201;ba8039FF9p,10,201;ba7FC644Dp,10,201
Pda61C56D8n;ba8075177p,10,201;ba803AD38p,10,201;ba7FC5BC1p,10,201
Pda62CBC0An;ba80766D3p,10,201;ba803BA09p,10,201;ba7FC5336p,10,201
Pda63D213An;ba8077C9Ep,10,201;ba803C747p,10,201;ba7FC4AAAp,10,201
Pda64D866Cn;ba80792D5p,10,201;ba803D561p,10,201;ba7FC428Cp,10,201
Pda65DEB9En;ba807A89Fp,10,201;ba803E29Fp,10,201;ba7FC3A01p,10,201
Pda66E50CEn;ba807C01Fp,10,201;ba803F126p,10,201;ba7FC3108p,10,201
Pda67EB600n;ba807D6C4p,10,201;ba803FF3Fp,10,201;ba7FC287Cp,10,201
Pda68F1B30n;ba807ED68p,10,201;ba8040D59p,10,201;ba7FC1FF1p,10,201
Pda69F8062n;ba80805C3p,10,201;ba8041C4Dp,10,201;ba7FC168Bp,10,201
Pda6AFE592n;ba8081DB0p,10,201;ba8042AD4p,10,201;ba7FC0D24p,10,201
Pda6C04AC2n;ba808359Dp,10,201;ba8043A35p,10,201;ba7FC0499p,10,201
Pda6D0AFF4n;ba8084E64p,10,201;ba8044997p,10,201;ba7FBFB33p,10,201
Pda6E11526n;ba80866BFp,10,201;ba804588Bp,10,201;ba7FBF1CCp,10,201
Pda6F17A56n;ba8088061p,10,201;ba804685Ap,10,201;ba7FBE7F9p,10,201
Pda701DF88n;ba8089A04p,10,201;ba8047828p,10,201;ba7FBDE25p,10,201
Pda71244B9n;ba808B414p,10,201;ba8048865p,10,201;ba7FBD452p,10,201
Pda722A9EAn;ba808CF6Cp,10,201;ba804997Cp,10,201;ba7FBCA11p,10,201
Pda7330F1An;ba808E9E9p,10,201;ba804A9B8p,10,201;ba7FBBFD0p,10,201
Pda743744Cn;ba8090541p,10,201;ba804BACFp,10,201;ba7FBB58Fp,10,201
Pda753D97Dn;ba8092106p,10,201;ba804CC53p,10,201;ba7FBAB4Ep,10,201
Pda7643EAEn;ba8093BF1p,10,201;ba804DD6Ap,10,201;ba7FBA17Ap,10,201
Pda774A3DFn;ba80957B6p,10,201;ba804EEEFp,10,201;ba7FB9739p,10,201
Pda7850911n;ba80974C3p,10,201;ba805014Ep,10,201;ba7FB8C8Bp,10,201
Pda7956E41n;ba8099089p,10,201;ba80512D2p,10,201;ba7FB824Ap,10,201
Pda7A5D372n;ba809AD29p,10,201;ba80524C4p,10,201;ba7FB779Bp,10,201
Pda7B638A4n;ba809C8EEp,10,201;ba8053648p,10,201;ba7FB6D5Ap,10,201
Pda7C69DD5n;ba809E5FCp,10,201;ba80548A7p,10,201;ba7FB62ACp,10,201
Pda7D70306n;ba80A01C1p,10,201;ba8055A2Cp,10,201;ba7FB586Bp,10,201
Pda7E76837n;ba80A1ECFp,10,201;ba8056C8Bp,10,201;ba7FB4DBDp,10,201
Pda7F7CD68n;ba80A3A94p,10,201;ba8057E0Fp,10,201;ba7FB437Cp,10,201
*
M0002
Pda7F85E36u;ba803D2D0p,12,201;ba7E4834Ap,12,201;ba7E0B079p,12,201
Pda7F86268u;ba81F9B26p,12,202;ba7E44BC0p,10,202;ba7C4B099p,12,202
Pda7F8669Bu;ba84642FAp,12,203;ba7E7443Ep,10,203;ba7A10143p,12,203
Pda7F86ACDu;ba843A6C5p,10,204;ba7F37D61p,10,204;ba7AFD69Cp,10,204
Pda7F86F00u;ba83C03B3p,10,204;ba7F51789p,10,204;ba7B913D5p,10,204
Pda7F87332u;ba836F7B6p,10,204;ba7F651FCp,10,204;ba7BF5A45p,10,204
Pda7F87764u;ba8339DCEp,10,204;ba7F7E8B9p,10,204;ba7C44AEAp,10,204
Pda7F87B97u;ba8300661p,10,204;ba7F822D4p,10,204;ba7C81C73p,10,204
Pda7F87FC9u;ba82CC465p,10,204;ba7F885F3p,10,204;ba7CBC18Dp,10,204
Pda7F883FCu;ba82B5A18p,10,204;ba7F94C30p,10,204;ba7CDF218p,10,204
Pda7F8882Eu;ba82A2D50p,10,204;ba7FA26F0p,10,204;ba7CFF9A0p,10,204
Pda7F88C61u;ba8295291p,10,204;ba7FB1D08p,10,204;ba7D1CA77p,10,204
Pda7F89093u;ba828A0D5p,10,204;ba7FC0209p,10,204;ba7D36134p,10,204
Pda7F894C6u;ba82877D1p,10,204;ba7FCFEF6p,10,204;ba7D48725p,10,204
Pda7F898F8u;ba827BF3Fp,14,204;ba7FDC89Fp,14,204;ba7D60960p,10,204
Pda7F89D2Bu;ba8274B09p,14,204;ba34E6030f,14,204;ba7D78159p,10,204
Pda7F8A15Du;ba826E114p,14,204;ba599D624f,14,204;ba7D881B2p,10,204
Pda7F8A590u;ba8272DFCp,10,203;baDD0ADD0f,10,203;ba7DA4F1Fp,10,203
Pda7F8A9C2u;ba8269B03p,10,203;ba8020266p,10,203;ba7DB6764p,10,203
Pda7F8ADF5u;ba8268BA1p,10,203;ba802A156p,10,203;ba7DC15B5p,10,203
Pda7F8B227u;ba8261921p,10,203;ba803106Bp,10,203;ba7DCF74Bp,10,203
Pda7F8B65Au;ba825EAFCp,10,203;ba8039AD8p,10,203;ba7DDAFDCp,10,203
Pda7F8BA8Cu;ba8258993p,10,203;ba803F201p,10,203;ba7DE686Ep,10,203
Pda7F8BEBFu;ba82563FAp,10,203;ba8045520p,10,203;ba7DEF126p,10,203
Pda7F8C2F1u;ba8254537p,10,203;ba804997Cp,10,203;ba7DF5445p,10,203
Pda7F8C724u;ba825282Ap,10,203;ba804DDD8p,10,203;ba7DFB5AEp,10,203
Pda7F8CB56u;ba824F32Fp,10,203;ba804FE50p,10,203;ba7E00B21p,10,203
Pda7F8CF89u;ba824DCF8p,10,203;ba80506DCp,10,203;ba7E029E4p,10,203
Pda7F8D3BBu;ba825282Ap,10,203;ba8051B5Ep,10,203;ba7DFF334p,10,203
Pda7F8D7EEu;ba8256765p,10,203;ba8050526p,10,203;ba7DF9DC2p,10,203
Pda7F8DC20u;ba8257D9Dp,10,203;ba804D02Cp,10,203;ba7DF5290p,10,203
Pda7F8E052u;ba823F9ADp,10,203;ba80490F0p,10,203;ba7E09744p,10,203
Pda7F8E485u;ba8213993p,10,203;ba80432F2p,10,203;ba7E2F95Fp,10,203
Pda7F8E8B7u;ba8217A84p,10,203;ba803E455p,10,203;ba7E269D1p,10,203
Pda7F8ECEAu;ba82312F6p,10,203;ba804A728p,10,203;ba7E19432p,10,203
Pda7F8F11Cu;ba824766Ep,10,203;ba8064305p,10,203;ba7E1CC97p,10,203
Pda7F8F54Fu;ba8225DCFp,10,203;ba805B00Cp,10,203;ba7E3523Dp,10,203
Pda7F8F981u;ba82000D5p,10,203;ba8047C6Ep,10,203;ba7E47B9Ap,10,203
Pda7F8FDB4u;ba81F96E0p,10,203;ba804DA6Dp,10,203;ba7E5438Dp,10,203
Pda7F901E6u;ba81F7B88p,10,203;ba8058708p,10,203;ba7E60B80p,10,203
Pda7F90619u;ba81F4BAEp,10,203;ba8063A79p,10,203;ba7E6EECBp,10,203
Pda7F90A4Bu;ba81F55EFp,10,203;ba806EDEAp,10,203;ba7E797FCp,10,203
Pda7F90E7Eu;ba81F72FDp,10,203;ba8076FCCp,10,203;ba7E7FCD0p,10,203
Pda7F912B0u;ba81F9C01p,10,203;ba80813DCp,10,203;ba7E877DCp,10,203
Pda7F916E3u;ba81F91C0p,10,203;ba8087DD1p,10,203;ba7E8EC12p,10,203
Pda7F91B15u;ba81F825Ep,10,203;ba808DD85p,10,203;ba7E95B27p,10,203
Pda7F91F48u;ba81F543Ap,10,203;ba8091435p,10,203;ba7E9BFFBp,10,203
Pda7F9237Au;ba81EFB5Cp,10,203;ba8090BA9p,10,203;ba7EA104Ep,10,203
Pda7F927ADu;ba81EF11Bp,10,203;ba809492Fp,10,203;ba7EA5815p,10,203
Pda7F92BDFu;ba81EB395p,10,203;ba80969A8p,10,203;ba7EAB613p,10,203
Pda7F93012u;ba81E8571p,10,203;ba8097754p,10,203;ba7EAF1E4p,10,203
Pda7F93444u;ba81E31B3p,10,203;ba80967F2p,10,203;ba7EB3640p,10,203
Pda7F93877u;ba81E4480p,10,203;ba80990F6p,10,203;ba7EB4C77p,10,203
Pda7F93CA9u;ba81E2407p,10,203;ba8099EA2p,10,203;ba7EB7A9Bp,10,203
Pda7F940DCu;ba81E1EE7p,10,203;ba809C0D0p,10,203;ba7EBA1EAp,10,203
Pda7F9450Eu;ba81E31B3p,10,203;ba809E2FEp,10,203;ba7EBB14Bp,10,203
Pda7F94941u;ba81E5FD8p,10,203;ba809E9D4p,10,203;ba7EB89FDp,10,203
Pda7F94D73u;ba81E9167p,10,203;ba80A319Bp,10,203;ba7EBA034p,10,203
Pda7F951A5u;ba81E88DBp,10,203;ba80A0377p,10,203;ba7EB7A9Bp,10,203
Pda7F955D8u;ba81F007Cp,10,203;ba809F936p,10,203;ba7EAF8BAp,10,203
Pda7F95A0Au;ba81F877Fp,10,203;ba80A12D8p,10,203;ba7EA8B5Ap,10,203
Pda7F95E3Du;ba81F79D3p,10,203;ba809F260p,10,203;ba7EA788Dp,10,203
Pda7F9626Fu;ba81E2E48p,10,203;ba809663Dp,10,203;ba7EB37F5p,10,203
Pda7F966A2u;ba81C0D1Ep,10,203;ba808CAB8p,10,203;ba7ECBD9Bp,10,203
Pda7F96AD4u;ba8194EBBp,10,203;ba807FF5Ap,10,203;ba7EEB0A0p,10,203
Pda7F96F07u;ba81931ADp,10,203;ba80768F6p,10,203;ba7EE374Ap,10,203
Pda7F97339u;ba81A6DD6p,10,203;ba8074513p,10,203;ba7ECD73Dp,10,203
Pda7F9776Cu;ba81CB64Fp,10,203;ba808A51Fp,10,203;ba7EBEED1p,10,203
Pda7F97B9Eu;ba81BD4B9p,10,203;ba80793B0p,10,203;ba7EBBEF7p,10,203
Pda7F97FD1u;ba81AC86Ap,10,203;ba8071C0Fp,10,203;ba7EC53A6p,10,203
Pda7F98403u;ba81B5122p,10,203;ba8081227p,10,203;ba7ECC106p,10,203
Pda7F98836u;ba81AE72Dp,10,203;ba808A88Bp,10,203;ba7EDC15Ep,10,203
Pda7F98C68u;ba81B139Cp,10,203;ba8094E50p,10,203;ba7EE3AB5p,10,203
Pda7F9909Bu;ba81B3AEAp,10,203;ba809F260p,10,203;ba7EEB776p,10,203
Pda7F994CDu;ba81B5642p,10,203;ba80A81EDp,10,203;ba7EF2BACp,10,203
Pda7F99900u;ba81B5ECDp,10,203;ba80AD916p,10,203;ba7EF7A49p,10,203
Pda7F99D32u;ba81B3AEAp,10,203;ba80AFEAFp,10,203;ba7EFC3C5p,10,203
Pda7F9A165u;ba81B2148p,10,203;ba80B0C5Bp,10,203;ba7EFEB14p,10,203
Pda7F9A597u;ba81AC194p,10,203;ba80AE50Cp,10,203;ba7F02379p,10,203
Pda7F9A9CAu;ba81AF68Ep,10,203;ba80B0C5Bp,10,203;ba7F015CDp,10,203
Pda7F9ADFCu;ba81A7D38p,10,203;ba80AF2B8p,10,203;ba7F07581p,10,203
Pda7F9B22Fu;ba81A6700p,10,203;ba80ADFECp,10,203;ba7F078ECp,10,203
Pda7F9B661u;ba81A5954p,10,203;ba80ACB6Ap,10,203;ba7F07216p,10,203
Pda7F9BA93u;ba81A2E9Bp,10,203;ba80AE6C2p,10,203;ba7F0B827p,10,203
Pda7F9BEC6u;ba81A527Ep,10,203;ba80B021Ap,10,203;ba7F0AF9Cp,10,203
Pda7F9C2F8u;ba81A49F3p,10,203;ba80B0064p,10,203;ba7F0B672p,10,203
Pda7F9C72Bu;ba81A6700p,10,203;ba80B1A07p,10,203;ba7F0B307p,10,203
Pda7F9CB5Du;ba81A7817p,10,203;ba80B3A7Fp,10,203;ba7F0C268p,10,203
Pda7F9CF90u;ba81AB3E8p,10,203;ba80B3714p,10,203;ba7F0832Dp,10,203
Pda7F9D3C2u;ba81B0E7Bp,10,203;ba80B430Bp,10,203;ba7F03490p,10,203
Pda7F9D7F5u;ba81B9C53p,10,203;ba80B61CEp,10,203;ba7EFC57Bp,10,203
Pda7F9DC27u;ba81C21A0p,10,203;ba80B8AD2p,10,203;ba7EF6932p,10,203
Pda7F9E05Au;ba81C9CACp,10,203;ba80BAD00p,10,203;ba7EF1054p,10,203
Pda7F9E48Cu;ba81C4C5Ap,10,203;ba80B96C8p,10,203;ba7EF4A6Fp,10,203
Pda7F9E8BFu;ba81A9BFBp,10,203;ba80AF7D9p,10,203;ba7F05BDFp,10,203
