e
M0002
Pda7F85E36u;ba82D1302p,14,208;ba7F92A02p,14,208;ba7CC1700p,10,208
Pda7FCF13Au;ba805207Ep,10,201;ba801B9C5p,10,201;ba7FC9947p,10,201
Pda7FCF56Cu;ba80521C6p,10,201;ba801B7A2p,10,201;ba7FC95DCp,10,201
Pda7FCF99Fu;ba80522A1p,10,201;ba801B57Fp,10,201;ba7FC92DFp,10,201
Pda7FCFDD1u;ba80521C6p,10,201;ba801B35Cp,10,201;ba7FC9197p,10,201
Pda7FD0204u;ba80521C6p,10,201;ba801B139p,10,201;ba7FC8F74p,10,201
Pda7FD0636u;ba80521C6p,10,201;ba801AF16p,10,201;ba7FC8D51p,10,201
Pda7FD0A69u;ba805207Ep,10,201;ba801ACF4p,10,201;ba7FC8C76p,10,201
Pda7FD0E9Bu;ba8051DEEp,10,201;ba801AAD1p,10,201;ba7FC8CE3p,10,201
Pda7FD12CEu;ba8051CA6p,10,201;ba801A8AEp,10,201;ba7FC8C09p,10,201
Pda7FD1700u;ba8051A15p,10,201;ba801A6F8p,10,201;ba7FC8CE3p,10,201
Pda7FD1B33u;ba8051718p,10,201;ba801A468p,10,201;ba7FC8D51p,10,201
Pda7FD1F65u;ba80513ADp,10,201;ba801A1D8p,10,201;ba7FC8E2Cp,10,201
Pda7FD2398u;ba80510AFp,10,201;ba8019F48p,10,201;ba7FC8E99p,10,201
Pda7FD27CAu;ba8050DB2p,10,201;ba8019DFFp,10,201;ba7FC904Ep,10,201
Pda7FD2BFDu;ba8050891p,10,201;ba8019BDDp,10,201;ba7FC934Cp,10,201
Pda7FD302Fu;ba8050593p,10,201;ba8019A27p,10,201;ba7FC9494p,10,201
Pda7FD3461u;ba8050073p,10,201;ba8019872p,10,201;ba7FC97FFp,10,201
Pda7FD3894u;ba804FC9Bp,10,201;ba8019729p,10,201;ba7FC9A8Fp,10,201
Pda7FD3CC6u;ba804F70Dp,10,201;ba8019574p,10,201;ba7FC9E68p,10,201
Pda7FD40F9u;ba804F2C7p,10,201;ba8019499p,10,201;ba7FCA1D3p,10,201
Pda7FD452Bu;ba804ECCCp,10,201;ba80192E4p,10,201;ba7FCA618p,10,201
Pda7FD495Eu;ba804E6D0p,10,201;ba801912Ep,10,201;ba7FCAA5Ep,10,201
Pda7FD4D90u;ba804E143p,10,201;ba8018FE6p,10,201;ba7FCAEA4p,10,201
Pda7FD51C3u;ba804DBB5p,10,201;ba8018F0Bp,10,201;ba7FCB357p,10,201
Pda7FD55F5u;ba804D54Cp,10,201;ba8018DC3p,10,201;ba7FCB878p,10,201
Pda7FD5A28u;ba804CE76p,10,201;ba8018CE8p,10,201;ba7FCBE73p,10,201
Pda7FD5E5Au;ba804C87Bp,10,201;ba8018BA0p,10,201;ba7FCC326p,10,201
Pda7FD628Du;ba804C1A5p,10,201;ba8018A58p,10,201;ba7FCC8B4p,10,201
Pda7FD66BFu;ba804BACFp,10,201;ba8018910p,10,201;ba7FCCE42p,10,201
Pda7FD6AF2u;ba804B466p,10,201;ba80188A3p,10,201;ba7FCD43Dp,10,201
Pda7FD6F24u;ba804AC48p,10,201;ba80186EDp,10,201;ba7FCDAA6p,10,201
Pda7FD7357u;ba804A6BAp,10,201;baDF56530f,10,201;ba7FCDFC6p,10,201
Pda7FD7789u;ba8049F77p,10,201;baDF3B9F0f,10,201;ba7FCE69Cp,10,201
Pda7FD7BBCu;ba804997Cp,10,201;baDF20EB0f,10,201;ba7FCEC2Ap,10,201
Pda7FD7FEEu;ba8049238p,10,201;baDEEB838f,10,201;ba7FCF293p,10,201
Pda7FD8421u;ba8048B62p,10,201;baDEB61B8f,10,201;ba7FCF88Ep,10,201
Pda7FD8853u;ba804841Fp,10,201;baDE9B680f,10,201;ba7FCFF64p,10,201
Pda7FD8C86u;ba8047EFEp,10,201;baDEB61B8f,10,201;ba7FD04F2p,10,201
Pda7FD90B8u;ba8047903p,10,201;baDE9B680f,10,201;ba7FD0A7Fp,10,201
Pda7FD94EBu;ba804722Dp,10,201;baDE80B40f,10,201;ba7FD10E8p,10,201
Pda7FD991Du;ba8046C32p,10,201;baDE80B40f,10,201;ba7FD16E3p,10,201
Pda7FD9D50u;ba8046637p,10,201;baDE80B40f,10,201;ba7FD1CDFp,10,201
Pda7FDA182u;ba80460A9p,10,201;baDE9B680f,10,201;ba7FD22DAp,10,201
Pda7FDA5B4u;ba8045B88p,10,201;baDE80B40f,10,201;ba7FD278Dp,10,201
Pda7FDA9E7u;ba8045668p,10,201;baDE80B40f,10,201;ba7FD2CADp,10,201
Pda7FDAE19u;ba8045222p,10,201;baDEB61B8f,10,201;ba7FD31CEp,10,201
Pda7FDB24Cu;ba8044E4Ap,10,201;baDEEB838f,10,201;ba7FD3681p,10,201
Pda7FDB67Eu;ba8044A71p,10,201;baDF20EB0f,10,201;ba7FD3B34p,10,201
Pda7FDBAB1u;ba8044699p,10,201;ba801875Bp,10,201;ba7FD40C2p,10,201
Pda7FDBEE3u;ba8044253p,10,201;ba8018835p,10,201;ba7FD45E3p,10,201
Pda7FDC316u;ba8043F56p,10,201;ba80189EBp,10,201;ba7FD4A96p,10,201
Pda7FDC748u;ba8043BEBp,10,201;ba8018B33p,10,201;ba7FD4F49p,10,201
Pda7FDCB7Bu;ba804395Ap,10,201;ba8018C7Bp,10,201;ba7FD5321p,10,201
Pda7FDCFADu;ba80437A5p,10,201;ba8018E31p,10,201;ba7FD568Cp,10,201
Pda7FDD3E0u;ba8043515p,10,201;ba8018F79p,10,201;ba7FD5A65p,10,201
Pda7FDD812u;ba804335Fp,10,201;ba801912Ep,10,201;ba7FD5DD0p,10,201
Pda7FDDC45u;ba8043284p,10,201;ba80192E4p,10,201;ba7FD6060p,10,201
Pda7FDE077u;ba80430CFp,10,201;ba8019507p,10,201;ba7FD6438p,10,201
Pda7FDE4AAu;ba8042FF4p,10,201;ba80196BCp,10,201;ba7FD66C8p,10,201
Pda7FDE8DCu;ba8042FF4p,10,201;ba80199BAp,10,201;ba7FD69C6p,10,201
Pda7FDED0Fu;ba8042F19p,10,201;ba8019B02p,10,201;ba7FD6BE9p,10,201
Pda7FDF141u;ba8042F19p,10,201;ba8019D92p,10,201;ba7FD6E79p,10,201
Pda7FDF574u;ba8042F87p,10,201;ba801A022p,10,201;ba7FD709Cp,10,201
Pda7FDF9A6u;ba8042F87p,10,201;ba801A2B3p,10,201;ba7FD732Cp,10,201
Pda7FDFDD9u;ba8042FF4p,10,201;ba801A543p,10,201;ba7FD754Fp,10,201
Pda7FE020Bu;ba80430CFp,10,201;ba801A7D3p,10,201;ba7FD7705p,10,201
Pda7FE063Eu;ba8043284p,10,201;ba801AAD1p,10,201;ba7FD784Dp,10,201
Pda7FE0A70u;ba80434A7p,10,201;ba801AE3Cp,10,201;ba7FD7995p,10,201
Pda7FE0EA2u;ba804365Dp,10,201;ba801B139p,10,201;ba7FD7ADDp,10,201
Pda7FE12D5u;ba80438EDp,10,201;ba801B4A4p,10,201;ba7FD7BB8p,10,201
Pda7FE1707u;ba8043B7Dp,10,201;ba801B80Fp,10,201;ba7FD7C92p,10,201
Pda7FE1B3Au;ba8043EE8p,10,201;ba801BB7Ap,10,201;ba7FD7C92p,10,201
Pda7FE1F6Cu;ba804410Bp,10,201;ba801BEE5p,10,201;ba7FD7DDBp,10,201
Pda7FE239Fu;ba8044551p,10,201;ba801C2BEp,10,201;ba7FD7D6Dp,10,201
Pda7FE27D1u;ba8044929p,10,201;ba801C629p,10,201;ba7FD7D00p,10,201
Pda7FE2C04u;ba8044DDCp,10,201;ba801CADCp,10,201;ba7FD7D00p,10,201
Pda7FE3036u;ba8045290p,10,201;ba801CEB4p,10,201;ba7FD7C25p,10,201
Pda7FE3469u;ba804581Dp,10,201;ba801D367p,10,201;ba7FD7B4Ap,10,201
Pda7FE389Bu;ba8045E19p,10,201;ba801D81Ap,10,201;ba7FD7A02p,10,201
Pda7FE3CCEu;ba8046339p,10,201;ba801DCCDp,10,201;ba7FD7995p,10,201
Pda7FE4100u;ba8046A7Cp,10,201;ba801E25Bp,10,201;ba7FD77DFp,10,201
Pda7FE4533u;ba8047078p,10,201;ba801E6A1p,10,201;ba7FD762Ap,10,201
Pda7FE4965u;ba804774Ep,10,201;ba801EC9Cp,10,201;ba7FD754Fp,10,201
Pda7FE4D98u;ba8047E91p,10,201;ba801F22Ap,10,201;ba7FD739Ap,10,201
Pda7FE51CAu;ba8048642p,10,201;ba801F7B8p,10,201;ba7FD7177p,10,201
Pda7FE55FDu;ba8048DF3p,10,201;ba801FDB3p,10,201;ba7FD6FC1p,10,201
Pda7FE5A2Fu;ba804967Ep,10,201;ba802041Cp,10,201;ba7FD6D9Ep,10,201
Pda7FE5E62u;ba8049F0Ap,10,201;ba8020A17p,10,201;ba7FD6B0Ep,10,201
Pda7FE6294u;ba804A802p,10,201;ba8021080p,10,201;ba7FD687Ep,10,201
Pda7FE66C7u;ba804B0FBp,10,201;ba80216E8p,10,201;ba7FD65EEp,10,201
Pda7FE6AF9u;ba804BA61p,10,201;ba8021D51p,10,201;ba7FD62F0p,10,201
Pda7FE6F2Cu;ba804C2EDp,10,201;ba80223BAp,10,201;ba7FD60CDp,10,201
Pda7FE735Eu;ba804CD9Bp,10,201;ba8022AFDp,10,201;ba7FD5D62p,10,201
Pda7FE7791u;ba804D7DCp,10,201;ba80231D3p,10,201;ba7FD59F7p,10,201
Pda2136FC0n;ba804E28Bp,10,201;ba8023916p,10,201;ba7FD568Cp,10,201
Pda223D4F8n;ba804EC5Ep,10,201;ba802405Ap,10,201;ba7FD53FCp,10,201
Pda2343A28n;ba804F77Ap,10,201;ba802479Dp,10,201;ba7FD5024p,10,201
Pda2449F60n;ba80503DEp,10,201;ba8024FBBp,10,201;ba7FD4BDEp,10,201
Pda2550488n;ba8050EFAp,10,201;ba802576Cp,10,201;ba7FD4873p,10,201
Pda26569B8n;ba8051A83p,10,201;ba8025F1Dp,10,201;ba7FD449Ap,10,201
Pda275CEF0n;ba8052754p,10,201;ba802673Bp,10,201;ba7FD3FE7p,10,201
Pda2863418n;ba80533B8p,10,201;ba8026F59p,10,201;ba7FD3BA2p,10,201
Pda2969950n;ba8054164p,10,201;ba8027852p,10,201;ba7FD36EEp,10,201
Pda2A6FE80n;ba8054EA2p,10,201;ba802814Bp,10,201;ba7FD32A9p,10,201
Pda2B763B0n;ba8055C4Ep,10,201;ba80289D6p,10,201;ba7FD2D88p,10,201
Pda2C7C8E0n;ba80569FAp,10,201;ba80292CFp,10,201;ba7FD28D5p,10,201
Pda2D82E10n;ba8057881p,10,201;ba8029B5Ap,10,201;ba7FD22DAp,10,201
Pda2E89348n;ba8058775p,10,201;ba802A4C1p,10,201;ba7FD1D4Cp,10,201
Pda2F8F878n;ba80596D7p,10,201;ba802AE27p,10,201;ba7FD1751p,10,201
Pda3095DA8n;ba805A713p,10,201;ba802B868p,10,201;ba7FD1155p,10,201
Pda319C2D8n;ba805B7BDp,10,201;ba802C2A9p,10,201;ba7FD0AEDp,10,201
Pda32A2808n;ba805C7F9p,10,201;ba802CCEAp,10,201;ba7FD04F2p,10,201
Pda33A8D38n;ba805D8A2p,10,201;ba802D798p,10,201;ba7FCFEF6p,10,201
Pda34AF268n;ba805EA27p,10,201;ba802E247p,10,201;ba7FCF820p,10,201
Pda35B57A0n;ba805FBABp,10,201;ba802ED62p,10,201;ba7FCF1B8p,10,201
Pda36BBCD0n;ba8060E0Ap,10,201;ba802F8ECp,10,201;ba7FCEAE2p,10,201
Pda37C21F8n;ba8061FFCp,10,201;ba803039Ap,10,201;ba7FCE39Ep,10,201
Pda38C8730n;ba8063336p,10,201;ba8030FFEp,10,201;ba7FCDCC8p,10,201
Pda39CEC60n;ba8064595p,10,201;ba8031B87p,10,201;ba7FCD5F2p,10,201
Pda3AD5190n;ba80659AAp,10,201;ba80327EBp,10,201;ba7FCCE42p,10,201
Pda3BDB6C0n;ba8066CE3p,10,201;ba803344Fp,10,201;ba7FCC76Cp,10,201
Pda3CE1BF0n;ba80680F8p,10,201;ba80340B2p,10,201;ba7FCBFBBp,10,201
Pda3DE8128n;ba806950Dp,10,201;ba8034D84p,10,201;ba7FCB878p,10,201
Pda3EEE650n;ba806A9FCp,10,201;ba8035A55p,10,201;ba7FCB059p,10,201
Pda3FF4B88n;ba806BE11p,10,201;ba8036726p,10,201;ba7FCA916p,10,201
Pda40FB0B8n;ba806D3DBp,10,201;ba8037465p,10,201;ba7FCA08Bp,10,201
Pda42015E4n;ba806E937p,10,201;ba8038211p,10,201;ba7FC98DAp,10,201
Pda4307B1Cn;ba806FF01p,10,201;ba8038FBDp,10,201;ba7FC90BCp,10,201
Pda440E048n;ba8071614p,10,201;ba8039DD6p,10,201;ba7FC87C3p,10,201
Pda451457Cn;ba8072D26p,10,201;ba803AC5Dp,10,201;ba7FC7F37p,10,201
Pda461AAACn;ba8074438p,10,201;ba803BA76p,10,201;ba7FC763Fp,10,201
Pda4720FDCn;ba8075BB8p,10,201;ba803C96Ap,10,201;ba7FC6DB3p,10,201
Pda4827510n;ba8077337p,10,201;ba803D7F1p,10,201;ba7FC64BAp,10,201
Pda492DA40n;ba8078BFFp,10,201;ba803E7C0p,10,201;ba7FC5BC1p,10,201
Pda4A33F70n;ba807A459p,10,201;ba803F6B4p,10,201;ba7FC525Bp,10,201
Pda4B3A4A0n;ba807BD21p,10,201;ba8040683p,10,201;ba7FC4962p,10,201
Pda4C409D4n;ba807D656p,10,201;ba8041652p,10,201;ba7FC3FFCp,10,201
Pda4D46F04n;ba807F066p,10,201;ba804268Ep,10,201;ba7FC3628p,10,201
Pda4E4D438n;ba8080B51p,10,201;ba80436CAp,10,201;ba7FC2B7Ap,10,201
Pda4F53964n;ba808263Bp,10,201;ba8044774p,10,201;ba7FC2139p,10,201
Pda5059E98n;ba808426Ep,10,201;ba80458F8p,10,201;ba7FC168Bp,10,201
Pda51603C8n;ba8085F0Ep,10,201;ba8046AEAp,10,201;ba7FC0BDCp,10,201
Pda52668F8n;ba8087C1Cp,10,201;ba8047C6Ep,10,201;ba7FC0053p,10,201
Pda536CE2Cn;ba8089A04p,10,201;ba8048F3Bp,10,201;ba7FBF537p,10,201
Pda5473358n;ba808B7ECp,10,201;ba804A207p,10,201;ba7FBEA1Cp,10,201
Pda557988Cn;ba808D5D4p,10,201;ba804B541p,10,201;ba7FBDF6Dp,10,201
Pda567FDBCn;ba808F572p,10,201;ba804C8E8p,10,201;ba7FBD377p,10,201
Pda57862F0n;ba809157Dp,10,201;ba804DCFDp,10,201;ba7FBC780p,10,201
Pda588C820n;ba809351Bp,10,201;ba804F111p,10,201;ba7FBBBF7p,10,201
Pda5992D54n;ba8095601p,10,201;ba8050601p,10,201;ba7FBB001p,10,201
Pda5A99280n;ba80976E6p,10,201;ba8051B5Ep,10,201;ba7FBA478p,10,201
Pda5B9F7B0n;ba8099982p,10,201;ba8053128p,10,201;ba7FB97A6p,10,201
Pda5CA5CE4n;ba809BC8Ap,10,201;ba80547CCp,10,201;ba7FB8B43p,10,201
Pda5DAC214n;ba809DF26p,10,201;ba8055E04p,10,201;ba7FB7EDFp,10,201
Pda5EB2748n;ba80A029Cp,10,201;ba80574A9p,10,201;ba7FB720Dp,10,201
Pda5FB8C74n;ba80A275Ap,10,201;ba8058C96p,10,201;ba7FB653Cp,10,201
Pda60BF1A6n;ba80A4C18p,10,201;ba805A483p,10,201;ba7FB586Bp,10,201
Pda61C56D8n;ba80A72F9p,10,201;ba805BD4Ap,10,201;ba7FB4A52p,10,201
Pda62CBC0An;ba80A9900p,10,201;ba805D612p,10,201;ba7FB3D13p,10,201
Pda63D213An;ba80AC129p,10,201;ba805F022p,10,201;ba7FB2EFAp,10,201
Pda64D866Cn;ba80AE8E5p,10,201;ba80609C4p,10,201;ba7FB20E0p,10,201
Pda65DEB9En;ba80B117Bp,10,201;ba8062442p,10,201;ba7FB12C7p,10,201
Pda66E50CEn;ba80B3B5Ap,10,201;ba8064007p,10,201;ba7FB04AEp,10,201
Pda67EB600n;ba80B6681p,10,201;ba8065BCCp,10,201;ba7FAF54Cp,10,201
Pda68F1B30n;ba80B9215p,10,201;ba80678DAp,10,201;ba7FAE6C5p,10,201
Pda69F8062n;ba80BBF5Fp,10,201;ba8069655p,10,201;ba7FAD6F7p,10,201
Pda6AFE592n;ba80BECA8p,10,201;ba806B43Dp,10,201;ba7FAC795p,10,201
Pda6C04AC2n;ba80C1C15p,10,201;ba806D36Dp,10,201;ba7FAB759p,10,201
Pda6D0AFF4n;ba80C4BEFp,10,201;ba806F378p,10,201;ba7FAA78Ap,10,201
Pda6E11526n;ba80C7C36p,10,201;ba80713F1p,10,201;ba7FA97BBp,10,201
Pda6F17A56n;ba80CAF0Ep,10,201;ba80734D7p,10,201;ba7FA85C9p,10,201
Pda701DF88n;ba80CE32Dp,10,201;ba8075772p,10,201;ba7FA7445p,10,201
Pda71244B9n;ba80D1970p,10,201;ba8077AE8p,10,201;ba7FA6179p,10,201
Pda722A9EAn;ba80D50FBp,10,201;ba807A081p,10,201;ba7FA4F87p,10,201
Pda7330F1An;ba80D8A3Bp,10,201;ba807C687p,10,201;ba7FA3C4Dp,10,201
Pda743744Cn;ba80DC531p,10,201;ba807EDD6p,10,201;ba7FA28A6p,10,201
Pda753D97Dn;ba80E01DCp,10,201;ba80816DAp,10,201;ba7FA14FEp,10,201
Pda7643EAEn;ba80E3F62p,10,201;ba8084126p,10,201;ba7FA01C5p,10,201
Pda774A3DFn;ba80E7FE5p,10,201;ba8086D27p,10,201;ba7F9ED43p,10,201
Pda7850911n;ba80EC144p,10,201;ba8089996p,10,201;ba7F9D853p,10,201
Pda7956E41n;ba80F03EAp,10,201;ba808C7BBp,10,201;ba7F9C3D1p,10,201
Pda7A5D372n;ba80F4A69p,10,201;ba808F802p,10,201;ba7F9AD9Ap,10,201
Pda7B638A4n;ba80F929Dp,10,201;ba80929FFp,10,201;ba7F99762p,10,201
Pda7C69DD5n;ba80FDC87p,10,201;ba8095D44p,10,201;ba7F980BEp,10,201
Pda7D70306n;ba8102901p,10,201;ba80992ACp,10,201;ba7F969ABp,10,201
Pda7E76837n;ba810780Bp,10,201;ba809C9C9p,10,201;ba7F951BEp,10,201
Pda7F7CD68n;ba810C938p,10,201;ba80A029Cp,10,201;ba7F93964p,10,201
*
M0002
Pda7F85E36u;ba803B92Ep,12,201;ba7E4633Fp,12,201;ba7E0AA11p,12,201
Pda7F86268u;ba8128EF4p,12,202;ba7D75BC0p,12,202;ba7C4CCCCp,12,202
Pda7F8669Bu;ba842FF4Ap,12,203;ba7DC89EBp,10,203;ba7998AA0p,12,203
Pda7F86ACDu;ba84A207Ap,10,204;ba7EA8119p,10,204;ba7A0609Ep,10,204
Pda7F86F00u;ba845EF3Dp,10,204;ba7F164C3p,10,204;ba7AB7585p,10,204
Pda7F87332u;ba842A301p,10,204;ba7F699C3p,10,204;ba7B3F6C2p,10,204
Pda7F87764u;ba83E7C05p,10,204;ba7F91C57p,10,204;ba7BAA051p,10,204
Pda7F87B97u;ba83AF919p,10,204;ba7FA5A35p,10,204;ba7BF611Bp,10,204
Pda7F87FC9u;ba837EDCEp,10,204;ba7FB318Ap,10,204;ba7C343BBp,10,204
Pda7F883FCu;ba835125Dp,10,204;ba7FB34F5p,10,204;ba7C62297p,10,204
Pda7F8882Eu;ba831EF25p,10,204;ba7FB53B8p,10,204;ba7C96493p,10,204
Pda7F88C61u;ba82F6251p,10,204;ba7FB460Cp,10,204;ba7CBE3BBp,10,204
Pda7F89093u;ba82CED69p,10,204;ba7FB4CE2p,10,204;ba7CE5F78p,10,204
Pda7F894C6u;ba82A93DAp,10,204;ba7FB318Ap,10,204;ba7D09DAFp,10,204
Pda7F898F8u;ba828DE5Ap,10,204;ba7FBC7EEp,10,204;ba7D2E993p,10,204
Pda7F89D2Bu;ba826F901p,10,204;ba7FBF7C8p,10,204;ba7D4FEC6p,10,204
Pda7F8A15Du;ba825BB22p,10,204;ba7FC3C24p,10,204;ba7D68101p,10,204
Pda7F8A590u;ba8246F98p,10,204;ba7FCCBB1p,10,204;ba7D85C19p,10,204
Pda7F8A9C2u;ba8233BFAp,14,204;ba7FD27FAp,14,204;ba7D9EC00p,10,204
Pda7F8ADF5u;ba8220F33p,14,204;ba7FD91EFp,14,204;ba7DB82BCp,10,204
Pda7F8B227u;ba8211C86p,14,204;ba7FE1E12p,14,204;ba7DD018Cp,10,204
Pda7F8B65Au;ba829D993p,14,203;baBFD6174f,14,203;ba7D72BE6p,10,203
Pda7F8BA8Cu;ba8295291p,14,203;baD15C278f,14,203;ba7D7FAB0p,10,203
Pda7F8BEBFu;ba828F7FDp,10,203;ba8018FE6p,10,203;ba7D897EAp,10,203
Pda7F8C2F1u;ba829432Fp,10,203;ba8021533p,10,203;ba7D8D204p,10,203
Pda7F8C724u;ba828E6E6p,10,203;ba8024D98p,10,203;ba7D966B3p,10,203
Pda7F8CB56u;ba828ACCBp,10,203;ba802B943p,10,203;ba7DA0C78p,10,203
Pda7F8CF89u;ba828448Cp,10,203;ba80348D1p,10,203;ba7DB0445p,10,203
Pda7F8D3BBu;ba827018Dp,10,203;ba8040683p,10,203;ba7DD04F7p,10,203
Pda7F8D7EEu;ba825EAFCp,10,203;ba8052FDFp,10,203;ba7DF44E3p,10,203
Pda7F8DC20u;ba8253CACp,10,203;ba80638C4p,10,203;ba7E0FC19p,10,203
Pda7F8E052u;ba824B23Ep,10,203;ba807606Bp,10,203;ba7E2AE2Dp,10,203
Pda7F8E485u;ba8264FD1p,10,203;ba8078B24p,10,203;ba7E13B54p,10,203
Pda7F8E8B7u;ba8237980p,10,203;ba806E1F4p,10,203;ba7E36874p,10,203
Pda7F8ECEAu;ba821FE1Cp,10,203;ba805D5A5p,10,203;ba7E3D78Ap,10,203
Pda7F8F11Cu;ba82098EFp,10,203;ba803F04Bp,10,203;ba7E3575Dp,10,203
Pda7F8F54Fu;ba82234CCp,10,203;ba805743Bp,10,203;ba7E33F70p,10,203
Pda7F8F981u;ba82518C8p,10,203;ba8073AD2p,10,203;ba7E2220Ap,10,203
Pda7F8FDB4u;ba8270862p,10,203;ba8087F87p,10,203;ba7E17725p,10,203
Pda7F901E6u;ba826B4A5p,10,203;ba80818FDp,10,203;ba7E16458p,10,203
Pda7F90619u;ba82518C8p,10,203;ba806E3A9p,10,203;ba7E1CAE2p,10,203
Pda7F90A4Bu;ba823C668p,10,203;ba8061A01p,10,203;ba7E2539Ap,10,203
Pda7F90E7Eu;ba822E9F2p,10,203;ba805C9AEp,10,203;ba7E2DFBCp,10,203
Pda7F912B0u;ba8226811p,10,203;ba805AAEBp,10,203;ba7E342DBp,10,203
Pda7F916E3u;ba82221FFp,10,203;ba805F7D3p,10,203;ba7E3D5D4p,10,203
Pda7F91B15u;ba82269C6p,10,203;ba8067D20p,10,203;ba7E4135Ap,10,203
Pda7F91F48u;ba8223F0Cp,10,203;ba806C4E7p,10,203;ba7E485DBp,10,203
Pda7F9237Au;ba8221B29p,10,203;ba8071539p,10,203;ba7E4FA10p,10,203
Pda7F927ADu;ba8223F0Cp,10,203;ba80774EDp,10,203;ba7E535E1p,10,203
Pda7F92BDFu;ba8224B03p,10,203;ba807D2EBp,10,203;ba7E587E9p,10,203
Pda7F93012u;ba8223161p,10,203;ba80807E6p,10,203;ba7E5D686p,10,203
Pda7F93444u;ba82217BEp,10,203;ba8083CE0p,10,203;ba7E62523p,10,203
Pda7F93877u;ba8221B29p,10,203;ba8087C1Cp,10,203;ba7E660F3p,10,203
Pda7F93CA9u;ba821C24Bp,10,203;ba8086B05p,10,203;ba7E6A8BAp,10,203
Pda7F940DCu;ba821A6F3p,10,203;ba8089ADEp,10,203;ba7E6F3ECp,10,203
Pda7F9450Eu;ba8213B49p,10,203;ba808A6D5p,10,203;ba7E76B8Dp,10,203
Pda7F94941u;ba820B0DCp,10,203;ba8089253p,10,203;ba7E7E178p,10,203
Pda7F94D73u;ba81FE05Dp,10,203;ba8084FADp,10,203;ba7E86F50p,10,203
Pda7F951A5u;ba81E6D84p,10,203;ba8080630p,10,203;ba7E998ADp,10,203
Pda7F955D8u;ba81D0A0Cp,10,203;ba807AF08p,10,203;ba7EAA4FCp,10,203
Pda7F95A0Au;ba81C703Dp,10,203;ba807AB9Dp,10,203;ba7EB3B60p,10,203
Pda7F95E3Du;ba81B4DB7p,10,203;ba8078CDAp,10,203;ba7EC3F24p,10,203
Pda7F9626Fu;ba81ACD8Ap,10,203;ba8080B51p,10,203;ba7ED3DC7p,10,203
Pda7F966A2u;ba81C5BBBp,10,203;ba808C22Dp,10,203;ba7EC6672p,10,203
Pda7F96AD4u;ba8207F4Cp,10,203;ba80956DBp,10,203;ba7E8D790p,10,203
Pda7F96F07u;ba820214Ep,10,203;ba80B96C8p,10,203;ba7EB757Bp,10,203
Pda7F97339u;ba81D9D05p,10,203;ba80B4B96p,10,203;ba7EDAE92p,10,203
Pda7F9776Cu;ba81C978Cp,10,203;ba809B68Fp,10,203;ba7ED1F04p,10,203
Pda7F97B9Eu;ba81DC29Ep,10,203;ba80AA93Cp,10,203;ba7ECE69Fp,10,203
Pda7F97FD1u;ba81F8414p,10,203;ba80BDE8Fp,10,203;ba7EC5A7Cp,10,203
Pda7F98403u;ba81F952Bp,10,203;ba80B169Cp,10,203;ba7EB8171p,10,203
Pda7F98836u;ba81E0024p,10,203;ba8096B5Dp,10,203;ba7EB6B3Ap,10,203
Pda7F98C68u;ba81D2564p,10,203;ba8088D33p,10,203;ba7EB67CFp,10,203
Pda7F9909Bu;ba81CEEB4p,10,203;ba80830EAp,10,203;ba7EB4236p,10,203
Pda7F994CDu;ba81D0856p,10,203;ba808694Fp,10,203;ba7EB60F9p,10,203
Pda7F99900u;ba81D776Cp,10,203;ba808E2A5p,10,203;ba7EB6B3Ap,10,203
Pda7F99D32u;ba81E1811p,10,203;ba80992ACp,10,203;ba7EB7A9Bp,10,203
Pda7F9A165u;ba81E7B30p,10,203;ba80A223Ap,10,203;ba7EBA70Ap,10,203
Pda7F9A597u;ba81EAE75p,10,203;ba80A70D6p,10,203;ba7EBC262p,10,203
Pda7F9A9CAu;ba81EB1E0p,10,203;ba80AC129p,10,203;ba7EC0F4Ap,10,203
Pda7F9ADFCu;ba81F2B36p,10,203;ba80B4155p,10,203;ba7EC1620p,10,203
Pda7F9B22Fu;ba81F1BD4p,10,203;ba80B6018p,10,203;ba7EC4444p,10,203
Pda7F9B661u;ba81F4323p,10,203;ba80B96C8p,10,203;ba7EC53A6p,10,203
Pda7F9BA93u;ba81F0FDEp,10,203;ba80BBE17p,10,203;ba7ECAE39p,10,203
Pda7F9BEC6u;ba81EE524p,10,203;ba80BA474p,10,203;ba7ECBF50p,10,203
Pda7F9C2F8u;ba81EE36Fp,10,203;ba80BB3D6p,10,203;ba7ECD067p,10,203
Pda7F9C72Bu;ba81ECD38p,10,203;ba80BBFCCp,10,203;ba7ECF295p,10,203
Pda7F9CB5Du;ba81E5C6Dp,10,203;ba80B91A8p,10,203;ba7ED353Bp,10,203
Pda7F9CF90u;ba81DAC66p,10,203;ba80B66EEp,10,203;ba7EDBA88p,10,203
Pda7F9D3C2u;ba81CFE16p,10,203;ba80B430Bp,10,203;ba7EE44F6p,10,203
Pda7F9D7F5u;ba81BDB8Fp,10,203;ba80AC494p,10,203;ba7EEE905p,10,203
Pda7F9DC27u;ba81A6A6Bp,10,203;ba80A53C9p,10,203;ba7EFE95Ep,10,203
Pda7F9E05Au;ba81942C4p,10,203;ba809DA73p,10,203;ba7F097AFp,10,203
Pda7F9E48Cu;ba8182DE9p,10,203;ba8097ABFp,10,203;ba7F14CD6p,10,203
Pda7F9E8BFu;ba817941Bp,10,203;ba80956DBp,10,203;ba7F1C2C1p,10,203
