e
M0002
Pda7F85E36u;ba828CD44p,14,208;ba7FA7222p,14,208;ba7D1A4DEp,14,208
Pda7FCF99Fu;ba805F2B2p,10,201;ba8020C3Ap,10,201;ba7FC1988p,10,201
Pda7FCFDD1u;ba805F1D8p,10,201;ba80208CFp,10,201;ba7FC16F8p,10,201
Pda7FD0204u;ba805EF47p,10,201;ba8020489p,10,201;ba7FC1543p,10,201
Pda7FD0636u;ba805EC4Ap,10,201;ba8020044p,10,201;ba7FC13FAp,10,201
Pda7FD0A69u;ba805E8DFp,10,201;ba801FCD9p,10,201;ba7FC13FAp,10,201
Pda7FD0E9Bu;ba805E42Cp,10,201;ba801F893p,10,201;ba7FC1468p,10,201
Pda7FD12CEu;ba805DF78p,10,201;ba801F4BAp,10,201;ba7FC1543p,10,201
Pda7FD1700u;ba805D97Dp,10,201;ba801F075p,10,201;ba7FC16F8p,10,201
Pda7FD1B33u;ba805D4CAp,10,201;ba801EC2Fp,10,201;ba7FC1765p,10,201
Pda7FD1F65u;ba805CD19p,10,201;ba801E77Cp,10,201;ba7FC1A63p,10,201
Pda7FD2398u;ba805C71Ep,10,201;ba801E3A3p,10,201;ba7FC1C86p,10,201
Pda7FD27CAu;ba805BFDBp,10,201;ba801DF5Ep,10,201;ba7FC1F84p,10,201
Pda7FD2BFDu;ba805B897p,10,201;ba801DBF3p,10,201;ba7FC235Cp,10,201
Pda7FD302Fu;ba805B154p,10,201;ba801D8F5p,10,201;ba7FC27A2p,10,201
Pda7FD3461u;ba805A9A3p,10,201;ba801D51Dp,10,201;ba7FC2B7Ap,10,201
Pda7FD3894u;ba805A185p,10,201;ba801D21Fp,10,201;ba7FC309Ap,10,201
Pda7FD3CC6u;ba805981Fp,10,201;ba801CE47p,10,201;ba7FC3628p,10,201
Pda7FD40F9u;ba8058EB9p,10,201;ba801CB49p,10,201;ba7FC3C91p,10,201
Pda7FD452Bu;ba8058552p,10,201;ba801C84Bp,10,201;ba7FC42FAp,10,201
Pda7FD495Eu;ba8057B7Fp,10,201;ba801C473p,10,201;ba7FC48F5p,10,201
Pda7FD4D90u;ba8057219p,10,201;ba801C1E3p,10,201;ba7FC4FCBp,10,201
Pda7FD51C3u;ba805676Ap,10,201;ba801BE78p,10,201;ba7FC570Ep,10,201
Pda7FD55F5u;ba8055CBCp,10,201;ba801BB7Ap,10,201;ba7FC5EBFp,10,201
Pda7FD5A28u;ba805520Dp,10,201;ba801B87Dp,10,201;ba7FC6670p,10,201
Pda7FD5E5Au;ba8054684p,10,201;ba801B57Fp,10,201;ba7FC6EFBp,10,201
Pda7FD628Du;ba8053AFBp,10,201;ba801B281p,10,201;ba7FC7787p,10,201
Pda7FD66BFu;ba8052FDFp,10,201;ba801AF84p,10,201;ba7FC7FA5p,10,201
Pda7FD6AF2u;ba80523E9p,10,201;ba801AC86p,10,201;ba7FC889Ep,10,201
Pda7FD6F24u;ba80518CDp,10,201;ba801A9F6p,10,201;ba7FC9129p,10,201
Pda7FD7357u;ba8050D44p,10,201;ba801A7D3p,10,201;ba7FC9A8Fp,10,201
Pda7FD7789u;ba80501BBp,10,201;ba801A543p,10,201;ba7FCA388p,10,201
Pda7FD7BBCu;ba804F557p,10,201;ba801A245p,10,201;ba7FCACEEp,10,201
Pda7FD7FEEu;ba804EAA9p,10,201;ba801A022p,10,201;ba7FCB57Ap,10,201
Pda7FD8421u;ba804DEB2p,10,201;ba8019DFFp,10,201;ba7FCBF4Ep,10,201
Pda7FD8853u;ba804D24Ep,10,201;ba8019B02p,10,201;ba7FCC8B4p,10,201
Pda7FD8C86u;ba804C7A0p,10,201;ba801994Cp,10,201;ba7FCD1ADp,10,201
Pda7FD90B8u;ba804BC17p,10,201;ba80196BCp,10,201;ba7FCDAA6p,10,201
Pda7FD94EBu;ba804B169p,10,201;ba8019507p,10,201;ba7FCE39Ep,10,201
Pda7FD991Du;ba804A505p,10,201;ba80192E4p,10,201;ba7FCEDDFp,10,201
Pda7FD9D50u;ba8049B31p,10,201;ba801912Ep,10,201;ba7FCF5FEp,10,201
Pda7FDA182u;ba8049083p,10,201;ba8018FE6p,10,201;ba7FCFF64p,10,201
Pda7FDA5B4u;ba8048642p,10,201;ba8018DC3p,10,201;ba7FD0782p,10,201
Pda7FDA9E7u;ba8047C6Ep,10,201;ba8018BA0p,10,201;ba7FD0F33p,10,201
Pda7FDAE19u;ba80473E3p,10,201;ba8018AC6p,10,201;ba7FD16E3p,10,201
Pda7FDB24Cu;ba8046A0Fp,10,201;ba801897Dp,10,201;ba7FD1F6Fp,10,201
Pda7FDB67Eu;ba8046184p,10,201;ba80188A3p,10,201;ba7FD2720p,10,201
Pda7FDBAB1u;ba80458F8p,10,201;ba80187C8p,10,201;ba7FD2ED0p,10,201
Pda7FDBEE3u;ba80450DAp,10,201;ba80186EDp,10,201;ba7FD3614p,10,201
Pda7FDC316u;ba804484Fp,10,201;baDF56530f,10,201;ba7FD3E32p,10,201
Pda7FDC748u;ba804410Bp,10,201;baDF3B9F0f,10,201;ba7FD4508p,10,201
Pda7FDCB7Bu;ba8043880p,10,201;baDF06378f,10,201;ba7FD4CB9p,10,201
Pda7FDCFADu;ba8043284p,10,201;baDEEB838f,10,201;ba7FD5246p,10,201
Pda7FDD3E0u;ba8042B41p,10,201;baDED0CF8f,10,201;ba7FD591Cp,10,201
Pda7FDD812u;ba80425B3p,10,201;baDEEB838f,10,201;ba7FD5F18p,10,201
Pda7FDDC45u;ba8041FB8p,10,201;baDF06378f,10,201;ba7FD6580p,10,201
Pda7FDE077u;ba80419BDp,10,201;baDF06378f,10,201;ba7FD6B7Cp,10,201
Pda7FDE4AAu;ba8041354p,10,201;baDEEB838f,10,201;ba7FD7177p,10,201
Pda7FDE8DCu;ba8040EA1p,10,201;baDF06378f,10,201;ba7FD7697p,10,201
Pda7FDED0Fu;ba8040A5Bp,10,201;baDF3B9F0f,10,201;ba7FD7BB8p,10,201
Pda7FDF141u;ba804053Bp,10,201;baDF3B9F0f,10,201;ba7FD80D8p,10,201
Pda7FDF574u;ba8040088p,10,201;baDF56530f,10,201;ba7FD85F9p,10,201
Pda7FDF9A6u;ba803FCAFp,10,201;ba80187C8p,10,201;ba7FD8B19p,10,201
Pda7FDFDD9u;ba803F9B2p,10,201;ba8018835p,10,201;ba7FD8E84p,10,201
Pda7FE020Bu;ba803F6B4p,10,201;ba801897Dp,10,201;ba7FD92CAp,10,201
Pda7FE063Eu;ba803F2DCp,10,201;ba80189EBp,10,201;ba7FD9710p,10,201
Pda7FE0A70u;ba803F193p,10,201;ba8018C0Ep,10,201;ba7FD9A7Bp,10,201
Pda7FE0EA2u;ba803EE96p,10,201;ba8018C7Bp,10,201;ba7FD9DE6p,10,201
Pda7FE12D5u;ba803ECE0p,10,201;ba8018E31p,10,201;ba7FDA151p,10,201
Pda7FE1707u;ba803EABDp,10,201;ba8018F79p,10,201;ba7FDA4BCp,10,201
Pda7FE1B3Au;ba803EA50p,10,201;ba801919Cp,10,201;ba7FDA74Cp,10,201
Pda7FE1F6Cu;ba803E89Bp,10,201;ba8019276p,10,201;ba7FDA9DCp,10,201
Pda7FE239Fu;ba803E82Dp,10,201;ba8019499p,10,201;ba7FDAC6Cp,10,201
Pda7FE27D1u;ba803E908p,10,201;ba80196BCp,10,201;ba7FDADB5p,10,201
Pda7FE2C04u;ba803E908p,10,201;ba80198DFp,10,201;ba7FDAFD7p,10,201
Pda7FE3036u;ba803E975p,10,201;ba8019A94p,10,201;ba7FDB120p,10,201
Pda7FE3469u;ba803EA50p,10,201;ba8019D25p,10,201;ba7FDB2D5p,10,201
Pda7FE389Bu;ba803EB98p,10,201;ba8019F48p,10,201;ba7FDB3B0p,10,201
Pda7FE3CCEu;ba803EDBBp,10,201;ba801A245p,10,201;ba7FDB48Bp,10,201
Pda7FE4100u;ba803F0B9p,10,201;ba801A543p,10,201;ba7FDB48Bp,10,201
Pda7FE4533u;ba803F2DCp,10,201;ba801A840p,10,201;ba7FDB565p,10,201
Pda7FE4965u;ba803F4FEp,10,201;ba801AB3Ep,10,201;ba7FDB640p,10,201
Pda7FE4D98u;ba803F7FCp,10,201;ba801AEA9p,10,201;ba7FDB6ADp,10,201
Pda7FE51CAu;ba803FBD4p,10,201;ba801B281p,10,201;ba7FDB6ADp,10,201
Pda7FE55FDu;ba803FF3Fp,10,201;ba801B5ECp,10,201;ba7FDB6ADp,10,201
Pda7FE5A2Fu;ba8040385p,10,201;ba801B9C5p,10,201;ba7FDB640p,10,201
Pda7FE5E62u;ba804075Ep,10,201;ba801BD30p,10,201;ba7FDB5D3p,10,201
Pda7FE6294u;ba8040BA3p,10,201;ba801C175p,10,201;ba7FDB5D3p,10,201
Pda7FE66C7u;ba8041056p,10,201;ba801C54Ep,10,201;ba7FDB4F8p,10,201
Pda7FE6AF9u;ba8041577p,10,201;ba801C994p,10,201;ba7FDB41Dp,10,201
Pda7FE6F2Cu;ba8041B72p,10,201;ba801CE47p,10,201;ba7FDB2D5p,10,201
Pda7FE735Eu;ba8042093p,10,201;ba801D28Cp,10,201;ba7FDB1FAp,10,201
Pda7FE7791u;ba80425B3p,10,201;ba801D665p,10,201;ba7FDB0B2p,10,201
Pda2136FC0n;ba8042C1Cp,10,201;ba801DB85p,10,201;ba7FDAF6Ap,10,201
Pda223D4F8n;ba80431AAp,10,201;ba801DFCBp,10,201;ba7FDAE22p,10,201
Pda2343A28n;ba80438EDp,10,201;ba801E4ECp,10,201;ba7FDABFFp,10,201
Pda2449F60n;ba8043F56p,10,201;ba801E99Fp,10,201;ba7FDAA4Ap,10,201
Pda2550488n;ba804462Cp,10,201;ba801EEBFp,10,201;ba7FDA894p,10,201
Pda26569B8n;ba8044D6Fp,10,201;ba801F3E0p,10,201;ba7FDA671p,10,201
Pda275CEF0n;ba804558Dp,10,201;ba801F96Ep,10,201;ba7FDA3E1p,10,201
Pda2863418n;ba8045D3Ep,10,201;ba801FEFBp,10,201;ba7FDA1BEp,10,201
Pda2969950n;ba804655Cp,10,201;ba8020489p,10,201;ba7FD9F2Ep,10,201
Pda2A6FE80n;ba8046DE7p,10,201;ba8020A85p,10,201;ba7FD9C9Ep,10,201
Pda2B763B0n;ba8047606p,10,201;ba8021012p,10,201;ba7FD9A0Dp,10,201
Pda2C7C8E0n;ba8047F6Cp,10,201;ba802167Bp,10,201;ba7FD9710p,10,201
Pda2D82E10n;ba8048865p,10,201;ba8021C76p,10,201;ba7FD9412p,10,201
Pda2E89348n;ba8049238p,10,201;ba8022272p,10,201;ba7FD903Ap,10,201
Pda2F8F878n;ba8049C0Cp,10,201;ba80228DAp,10,201;ba7FD8CCFp,10,201
Pda3095DA8n;ba804A64Dp,10,201;ba8022FB0p,10,201;ba7FD8964p,10,201
Pda319C2D8n;ba804B169p,10,201;ba8023686p,10,201;ba7FD851Ep,10,201
Pda32A2808n;ba804BC17p,10,201;ba8023D5Cp,10,201;ba7FD8146p,10,201
Pda33A8D38n;ba804C733p,10,201;ba802449Fp,10,201;ba7FD7D6Dp,10,201
Pda34AF268n;ba804D329p,10,201;ba8024C50p,10,201;ba7FD7927p,10,201
Pda35B57A0n;ba804DFFAp,10,201;ba802546Ep,10,201;ba7FD7474p,10,201
Pda36BBCD0n;ba804EB84p,10,201;ba8025BB2p,10,201;ba7FD702Fp,10,201
Pda37C21F8n;ba804F7E7p,10,201;ba80263D0p,10,201;ba7FD6BE9p,10,201
Pda38C8730n;ba80503DEp,10,201;ba8026B81p,10,201;ba7FD67A3p,10,201
Pda39CEC60n;ba805111Dp,10,201;ba802740Cp,10,201;ba7FD62F0p,10,201
Pda3AD5190n;ba8051E5Bp,10,201;ba8027C2Ap,10,201;ba7FD5DD0p,10,201
Pda3BDB6C0n;ba8052C07p,10,201;ba8028523p,10,201;ba7FD591Cp,10,201
Pda3CE1BF0n;ba8053946p,10,201;ba8028DAFp,10,201;ba7FD5469p,10,201
Pda3DE8128n;ba805475Fp,10,201;ba802963Ap,10,201;ba7FD4EDBp,10,201
Pda3EEE650n;ba8055578p,10,201;ba8029FA0p,10,201;ba7FD4A28p,10,201
Pda3FF4B88n;ba80563FFp,10,201;ba802A899p,10,201;ba7FD449Ap,10,201
Pda40FB0B8n;ba8057219p,10,201;ba802B192p,10,201;ba7FD3F7Ap,10,201
Pda42015E4n;ba805817Ap,10,201;ba802BAF8p,10,201;ba7FD397Fp,10,201
Pda4307B1Cn;ba805906Ep,10,201;ba802C45Ep,10,201;ba7FD33F1p,10,201
Pda440E048n;ba8059FD0p,10,201;ba802CE32p,10,201;ba7FD2E63p,10,201
Pda451457Cn;ba805B00Cp,10,201;ba802D873p,10,201;ba7FD2868p,10,201
Pda461AAACn;ba805BF6Dp,10,201;ba802E1D9p,10,201;ba7FD226Cp,10,201
Pda4720FDCn;ba805CFAAp,10,201;ba802EC88p,10,201;ba7FD1CDFp,10,201
Pda4827510n;ba805E0C1p,10,201;ba802F6C9p,10,201;ba7FD1609p,10,201
Pda492DA40n;ba805F16Ap,10,201;ba8030177p,10,201;ba7FD100Dp,10,201
Pda4A33F70n;ba8060281p,10,201;ba8030C25p,10,201;ba7FD09A5p,10,201
Pda4B3A4A0n;ba8061473p,10,201;ba8031741p,10,201;ba7FD02CFp,10,201
Pda4C409D4n;ba806258Ap,10,201;ba803225Dp,10,201;ba7FCFCD4p,10,201
Pda4D46F04n;ba806377Cp,10,201;ba8032D79p,10,201;ba7FCF5FEp,10,201
Pda4E4D438n;ba8064A48p,10,201;ba8033902p,10,201;ba7FCEEBAp,10,201
Pda4F53964n;ba8065CA7p,10,201;ba803448Bp,10,201;ba7FCE7E4p,10,201
Pda5059E98n;ba806704Ep,10,201;ba8035081p,10,201;ba7FCE033p,10,201
Pda51603C8n;ba8068463p,10,201;ba8035C78p,10,201;ba7FCD815p,10,201
Pda52668F8n;ba80698E5p,10,201;ba8036949p,10,201;ba7FCD065p,10,201
Pda536CE2Cn;ba806AD67p,10,201;ba80375ADp,10,201;ba7FCC846p,10,201
Pda5473358n;ba806C256p,10,201;ba80382EBp,10,201;ba7FCC096p,10,201
Pda557988Cn;ba806D746p,10,201;ba803902Ap,10,201;ba7FCB8E5p,10,201
Pda567FDBCn;ba806ED10p,10,201;ba8039DD6p,10,201;ba7FCB0C7p,10,201
Pda57862F0n;ba8070347p,10,201;ba803AB82p,10,201;ba7FCA83Bp,10,201
Pda588C820n;ba80719ECp,10,201;ba803BA09p,10,201;ba7FCA01Dp,10,201
Pda5992D54n;ba8073024p,10,201;ba803C822p,10,201;ba7FC97FFp,10,201
Pda5A99280n;ba80747A3p,10,201;ba803D716p,10,201;ba7FC8F74p,10,201
Pda5B9F7B0n;ba8075F23p,10,201;ba803E60Ap,10,201;ba7FC86E8p,10,201
Pda5CA5CE4n;ba80776A2p,10,201;ba803F4FEp,10,201;ba7FC7E5Dp,10,201
Pda5DAC214n;ba8078EFDp,10,201;ba80403F3p,10,201;ba7FC74F6p,10,201
Pda5EB2748n;ba807A7C4p,10,201;ba80413C1p,10,201;ba7FC6BFEp,10,201
Pda5FB8C74n;ba807C0F9p,10,201;ba80423FEp,10,201;ba7FC6305p,10,201
Pda60BF1A6n;ba807D9C1p,10,201;ba80433CDp,10,201;ba7FC5A0Cp,10,201
Pda61C56D8n;ba807F3D1p,10,201;ba8044476p,10,201;ba7FC50A6p,10,201
Pda62CBC0An;ba8080DE1p,10,201;ba8045520p,10,201;ba7FC473Fp,10,201
Pda63D213An;ba808285Ep,10,201;ba8046637p,10,201;ba7FC3DD9p,10,201
Pda64D866Cn;ba80843B6p,10,201;ba804774Ep,10,201;ba7FC3398p,10,201
Pda65DEB9En;ba8085F0Ep,10,201;ba804893Fp,10,201;ba7FC2A32p,10,201
Pda66E50CEn;ba8087BAEp,10,201;ba8049B9Fp,10,201;ba7FC1FF1p,10,201
Pda67EB600n;ba80897E1p,10,201;ba804AD90p,10,201;ba7FC15B0p,10,201
Pda68F1B30n;ba808B55Cp,10,201;ba804C0CAp,10,201;ba7FC0B6Fp,10,201
Pda69F8062n;ba808D344p,10,201;ba804D397p,10,201;ba7FC0053p,10,201
Pda6AFE592n;ba808F12Cp,10,201;ba804E6D0p,10,201;ba7FBF5A5p,10,201
Pda6C04AC2n;ba8090FEFp,10,201;ba804FAE5p,10,201;ba7FBEAF6p,10,201
Pda6D0AFF4n;ba8092F8Dp,10,201;ba8050F67p,10,201;ba7FBDFDBp,10,201
Pda6E11526n;ba8094F2Bp,10,201;ba80523E9p,10,201;ba7FBD4BFp,10,201
Pda6F17A56n;ba8097010p,10,201;ba8053946p,10,201;ba7FBC936p,10,201
Pda701DF88n;ba80991D1p,10,201;ba8054EA2p,10,201;ba7FBBCD2p,10,201
Pda71244B9n;ba809B4DAp,10,201;ba8056547p,10,201;ba7FBB06Ep,10,201
Pda722A9EAn;ba809D850p,10,201;ba8057BECp,10,201;ba7FBA39Dp,10,201
Pda7330F1An;ba809FD0Ep,10,201;ba80593D9p,10,201;ba7FB96CCp,10,201
Pda743744Cn;ba80A223Ap,10,201;ba805AC33p,10,201;ba7FB89FAp,10,201
Pda753D97Dn;ba80A4840p,10,201;ba805C569p,10,201;ba7FB7D29p,10,201
Pda7643EAEn;ba80A6F21p,10,201;ba805DF0Bp,10,201;ba7FB6FEBp,10,201
Pda774A3DFn;ba80A966Fp,10,201;ba805F91Bp,10,201;ba7FB62ACp,10,201
Pda7850911n;ba80ABE99p,10,201;ba8061405p,10,201;ba7FB556Dp,10,201
Pda7956E41n;ba80AE877p,10,201;ba8062FCBp,10,201;ba7FB4754p,10,201
Pda7A5D372n;ba80B12C3p,10,201;ba8064C6Bp,10,201;ba7FB39A8p,10,201
Pda7B638A4n;ba80B3D7Dp,10,201;ba806689Ep,10,201;ba7FB2B21p,10,201
Pda7C69DD5n;ba80B6AC7p,10,201;ba8068761p,10,201;ba7FB1C9Bp,10,201
Pda7D70306n;ba80B97A3p,10,201;ba806A5B6p,10,201;ba7FB0E14p,10,201
Pda7E76837n;ba80BC6A2p,10,201;ba806C554p,10,201;ba7FAFEB2p,10,201
Pda7F7CD68n;ba80BF60Fp,10,201;ba806E5CCp,10,201;ba7FAEFBEp,10,201
*
M0002
Pda7F85E36u;ba80406F0p,12,201;ba7E49F10p,12,201;ba7E0981Fp,12,201
Pda7F86268u;ba81B6834p,1A,202;ba7DEA7AAp,18,202;ba7C33F76p,12,202
Pda7F8669Bu;ba83BEBC6p,12,203;ba7DFAED8p,10,203;ba7A3C312p,12,203
Pda7F86ACDu;ba8419BD2p,10,204;ba7EF6AE7p,10,204;ba7ADCF15p,10,204
Pda7F86F00u;ba839581Cp,10,204;ba7F1D58Ep,10,204;ba7B87D71p,10,204
Pda7F87332u;ba8324803p,10,204;ba7F219EAp,10,204;ba7BFD1E6p,10,204
Pda7F87764u;ba82D619Fp,10,204;ba7F2D27Bp,10,204;ba7C570DBp,10,204
Pda7F87B97u;ba82AB973p,10,204;ba7F48490p,10,204;ba7C9CB1Cp,10,204
Pda7F87FC9u;ba8294F26p,10,204;ba7F670BFp,10,204;ba7CD2199p,10,204
Pda7F883FCu;ba828A440p,10,204;ba7F88CC9p,10,204;ba7CFE888p,10,204
Pda7F8882Eu;ba827CCEBp,10,204;ba7FA26F0p,10,204;ba7D25A05p,10,204
Pda7F88C61u;ba8272570p,10,204;ba7FBB6D7p,10,204;ba7D49166p,10,204
Pda7F89093u;ba826585Cp,10,204;ba7FC986Cp,10,204;ba7D64010p,10,204
Pda7F894C6u;ba8258B49p,14,204;ba7FD6215p,14,204;ba7D7D6CCp,10,204
Pda7F898F8u;ba824989Cp,14,204;ba7FDDD21p,14,204;ba7D94485p,10,204
Pda7F89D2Bu;ba82468C2p,14,204;ba3ABD5D8f,14,204;ba7DA7B8Dp,10,204
Pda7F8A15Du;ba829EC5Fp,14,203;ba2AE28C0f,14,203;ba7D4B6FFp,10,203
Pda7F8A590u;ba829AED9p,14,203;ba5ADDD10f,14,203;ba7D5B90Dp,10,203
Pda7F8A9C2u;ba829826Ap,14,203;ba92C67F4f,14,203;ba7D6CA7Dp,10,203
Pda7F8ADF5u;ba82927D7p,14,203;baA878AC0f,14,203;ba7D77DEEp,10,203
Pda7F8B227u;ba828EF72p,14,203;baD231C68f,14,203;ba7D8613Ap,10,203
Pda7F8B65Au;ba828B8C2p,10,203;ba801DCCDp,10,203;ba7D9240Cp,10,203
Pda7F8BA8Cu;ba8281667p,10,203;ba8021C09p,10,203;ba7DA05A2p,10,203
Pda7F8BEBFu;ba8276B82p,10,203;ba80263D0p,10,203;ba7DAF84Fp,10,203
Pda7F8C2F1u;ba8267DF5p,10,203;ba8028E89p,10,203;ba7DC1095p,10,203
Pda7F8C724u;ba8252674p,10,203;ba80285FEp,10,203;ba7DD5F8Ap,10,203
Pda7F8CB56u;ba8238FB8p,10,203;ba8024D98p,10,203;ba7DEBDE1p,10,203
Pda7F8CF89u;ba8220A12p,10,203;ba801F14Fp,10,203;ba7DFE73Ep,10,203
Pda7F8D3BBu;ba82087D7p,10,203;ba801CF21p,10,203;ba7E1474Bp,10,203
Pda7F8D7EEu;ba81F20F5p,10,203;ba801D5F7p,10,203;ba7E2B503p,10,203
Pda7F8DC20u;ba81EC4ACp,10,203;ba8029715p,10,203;ba7E3D269p,10,203
Pda7F8E052u;ba81FFBB5p,10,203;ba80343B0p,10,203;ba7E347FCp,10,203
Pda7F8E485u;ba82364FEp,10,203;ba803158Cp,10,203;ba7DFB08Ep,10,203
Pda7F8E8B7u;ba8218F06p,10,203;ba8042390p,10,203;ba7E2948Bp,10,203
Pda7F8ECEAu;ba81FB759p,10,203;ba80542ACp,10,203;ba7E58B54p,10,203
Pda7F8F11Cu;ba81F900Ap,10,203;ba805111Dp,10,203;ba7E58113p,10,203
Pda7F8F54Fu;ba820E0B5p,10,203;ba8058DDEp,10,203;ba7E4AD29p,10,203
Pda7F8F981u;ba8208EAEp,10,203;ba8050BFCp,10,203;ba7E47D4Fp,10,203
Pda7F8FDB4u;ba81FBFE4p,10,203;ba8047078p,10,203;ba7E4B094p,10,203
Pda7F901E6u;ba81EDE4Ep,10,203;ba803F04Bp,10,203;ba7E511FDp,10,203
Pda7F90619u;ba81E06FAp,10,203;ba8033E90p,10,203;ba7E53796p,10,203
Pda7F90A4Bu;ba81E2772p,10,203;ba803B110p,10,203;ba7E5899Ep,10,203
Pda7F90E7Eu;ba81EEDB0p,10,203;ba8048F3Bp,10,203;ba7E5A18Bp,10,203
Pda7F912B0u;ba81FD466p,10,203;ba8058552p,10,203;ba7E5B0EDp,10,203
Pda7F916E3u;ba82098EFp,10,203;ba806541Cp,10,203;ba7E5BB2Ep,10,203
Pda7F91B15u;ba8210EDAp,10,203;ba806E8CAp,10,203;ba7E5D9F1p,10,203
Pda7F91F48u;ba8216CD8p,10,203;ba8077F2Ep,10,203;ba7E61256p,10,203
Pda7F9237Au;ba82156A1p,10,203;ba807D2EBp,10,203;ba7E67C4Bp,10,203
Pda7F927ADu;ba8219271p,10,203;ba808233Ep,10,203;ba7E690CDp,10,203
Pda7F92BDFu;ba8213993p,10,203;ba808360Ap,10,203;ba7E6FC77p,10,203
Pda7F93012u;ba8215180p,10,203;ba8087DD1p,10,203;ba7E72C51p,10,203
Pda7F93444u;ba820F537p,10,203;ba8089E49p,10,203;ba7E7A913p,10,203
Pda7F93877u;ba820B5FCp,10,203;ba808D344p,10,203;ba7E81D48p,10,203
Pda7F93CA9u;ba8205ED4p,10,203;ba808BEC2p,10,203;ba7E85FEFp,10,203
Pda7F940DCu;ba82035D0p,10,203;ba808E45Bp,10,203;ba7E8AE8Cp,10,203
Pda7F9450Eu;ba81FBC79p,10,203;ba808D864p,10,203;ba7E91BECp,10,203
Pda7F94941u;ba81EF486p,10,203;ba808BEC2p,10,203;ba7E9CA3Dp,10,203
Pda7F94D73u;ba81EBF8Cp,10,203;ba808BB57p,10,203;ba7E9FBCCp,10,203
Pda7F951A5u;ba81E0544p,10,203;ba8088D33p,10,203;ba7EA87EFp,10,203
Pda7F955D8u;ba81D0F2Cp,10,203;ba8081FD3p,10,203;ba7EB10A7p,10,203
Pda7F95A0Au;ba81B7BDBp,10,203;ba8076220p,10,203;ba7EBE646p,10,203
Pda7F95E3Du;ba8192096p,10,203;ba8067D20p,10,203;ba7ED5C8Ap,10,203
Pda7F9626Fu;ba818B857p,10,203;ba805E6BCp,10,203;ba7ED2E66p,10,203
Pda7F966A2u;ba819F480p,10,203;ba80564DAp,10,203;ba7EB705Ap,10,203
Pda7F96AD4u;ba81C6CD2p,10,203;ba805386Bp,10,203;ba7E8CB99p,10,203
Pda7F96F07u;ba81D2564p,10,203;ba8069357p,10,203;ba7E96DF4p,10,203
Pda7F97339u;ba81A9DB0p,10,203;ba8082D7Fp,10,203;ba7ED8FCFp,10,203
Pda7F9776Cu;ba81A91BAp,10,203;ba8090168p,10,203;ba7EE6FAFp,10,203
Pda7F97B9Eu;ba81AF68Ep,10,203;ba808A51Fp,10,203;ba7EDAE92p,10,203
Pda7F97FD1u;ba81AAB5Cp,10,203;ba807D136p,10,203;ba7ED25DAp,10,203
Pda7F98403u;ba8197E95p,10,203;ba8066DBEp,10,203;ba7ECEF2Ap,10,203
Pda7F98836u;ba81875B0p,10,203;ba8057286p,10,203;ba7ECFCD6p,10,203
Pda7F98C68u;ba818E831p,10,203;ba805E19Bp,10,203;ba7ECF96Bp,10,203
Pda7F9909Bu;ba81A03E1p,10,203;ba8071DC4p,10,203;ba7ED19E4p,10,203
Pda7F994CDu;ba81B548Cp,10,203;ba8081747p,10,203;ba7ECC2BBp,10,203
Pda7F99900u;ba81C2876p,10,203;ba808ECE6p,10,203;ba7ECC471p,10,203
Pda7F99D32u;ba81CADC3p,10,203;ba8095526p,10,203;ba7ECA763p,10,203
Pda7F9A165u;ba81D1B23p,10,203;ba809C7A6p,10,203;ba7ECAC84p,10,203
Pda7F9A597u;ba81D501Dp,10,203;ba80A1B64p,10,203;ba7ECCB47p,10,203
Pda7F9A9CAu;ba81D724Bp,10,203;ba80A58E9p,10,203;ba7ECE69Fp,10,203
Pda7F9ADFCu;ba81D501Ep,10,203;ba80A4EA9p,10,203;ba7ECFE8Cp,10,203
Pda7F9B22Fu;ba81D8BEEp,10,203;ba80AA41Bp,10,203;ba7ED182Ep,10,203
Pda7F9B661u;ba81D680Bp,10,203;ba80AB37Dp,10,203;ba7ED4B73p,10,203
Pda7F9BA93u;ba81D51D3p,10,203;ba80AAAF1p,10,203;ba7ED591Fp,10,203
Pda7F9BEC6u;ba81CFE16p,10,203;ba80AB012p,10,203;ba7EDB1FDp,10,203
Pda7F9C2F8u;ba81CCAD1p,10,203;ba80AC494p,10,203;ba7EDF9C4p,10,203
Pda7F9C72Bu;ba81CAC0Ep,10,203;ba80AC494p,10,203;ba7EE1887p,10,203
Pda7F9CB5Du;ba81C6291p,10,203;ba80AACA7p,10,203;ba7EE4A16p,10,203
Pda7F9CF90u;ba81BE93Bp,10,203;ba80AA93Cp,10,203;ba7EEC001p,10,203
Pda7F9D3C2u;ba81BB7ABp,10,203;ba80A8C2Ep,10,203;ba7EED483p,10,203
Pda7F9D7F5u;ba81B1C27p,10,203;ba80A4468p,10,203;ba7EF2841p,10,203
Pda7F9DC27u;ba81A0C6Dp,10,203;ba809F260p,10,203;ba7EFE5F3p,10,203
Pda7F9E05Au;ba818DDF0p,10,203;ba8096487p,10,203;ba7F08698p,10,203
Pda7F9E48Cu;ba8169057p,10,203;ba8086E70p,10,203;ba7F1DE19p,10,203
Pda7F9E8BFu;ba815CD84p,10,203;ba80780E3p,10,203;ba7F1B360p,10,203
Pda7F9ECF1u;ba8180330p,10,203;ba806FD4Cp,10,203;ba7EEFA1Cp,10,203
